DateTime,Artist Name,Genre,Stage Location,Expected Audience Size,Actual Audience Size,Audience Engagement Score,Performance Duration,Setup Time,Tear Down Time
1/2/2024 9:30:52 AM,Cache Miss,Electronic,VIP Lounge,866,866,6,99,59,23
1/17/2024 11:06:00 AM,Cache Miss,Rock,Indie Arena,2781,2781,7,98,28,34
8/14/2023 11:00:41 PM,Parallel Processors,Hip Hop,VIP Lounge,7810,2834,7,89,31,35
2/17/2024 6:43:05 AM,Parallel Processors,Electronic,Main Stage,7582,7582,4,79,26,24
5/10/2023 3:20:51 AM,The Query Strings,Electronic,Main Stage,5186,1745,4,41,43,36
5/19/2023 1:29:51 AM,Neural Nets,Rock,Indie Arena,8064,1957,4,76,46,43
6/28/2023 7:27:37 PM,Infinite Loop,Jazz,Main Stage,2765,2765,5,96,38,23
4/24/2023 11:00:03 AM,Byte Beat,Electronic,Indie Arena,3613,830,5,94,27,19
10/7/2023 9:16:08 AM,The Query Strings,Jazz,VIP Lounge,595,595,8,56,34,54
1/1/2024 3:46:49 AM,Cluster Funk,Jazz,DJ Tent,5922,1453,9,77,29,25
6/8/2023 5:12:50 AM,Recursive Rhythms,Indie,Main Stage,2172,1476,2,117,18,15
4/16/2024 9:36:33 AM,The Data Wranglers,Rock,VIP Lounge,7895,7895,7,91,48,56
4/14/2024 10:41:30 AM,Parallel Processors,Jazz,DJ Tent,8629,5918,1,73,42,15
4/15/2023 7:58:56 PM,Random Forest,Rock,DJ Tent,4049,60,1,48,16,53
4/17/2024 11:37:07 PM,Hello World,Indie,DJ Tent,6133,6133,4,88,44,19
2/26/2024 12:19:12 PM,Recursive Rhythms,Rock,VIP Lounge,8428,8428,7,37,40,36
12/9/2023 9:41:49 AM,Bit Rate,Electronic,VIP Lounge,2655,2655,2,84,40,40
9/11/2023 6:09:43 PM,Epsilon Greedy,Jazz,Indie Arena,6470,6470,2,76,34,20
3/31/2024 5:45:50 AM,Recursive Rhythms,Rock,DJ Tent,4515,3053,1,31,56,46
8/17/2023 12:14:49 AM,The Algorithmics,Hip Hop,DJ Tent,6059,6059,2,68,42,25
1/14/2024 4:46:05 AM,The Algorithmics,Rock,DJ Tent,9207,7245,7,74,34,24
8/5/2023 8:41:49 PM,Bit Rate,Jazz,Indie Arena,6093,6093,9,61,25,53
9/23/2023 10:46:59 PM,The Data Wranglers,Indie,DJ Tent,5121,3138,6,94,24,48
11/20/2023 12:48:45 PM,Cache Miss,Indie,VIP Lounge,3007,1839,2,67,37,45
1/1/2024 7:20:44 AM,Infinite Loop,Jazz,DJ Tent,3014,3014,9,106,51,26
4/16/2023 11:19:52 PM,Recursive Rhythms,Electronic,Main Stage,3970,3970,7,40,55,58
10/4/2023 6:28:23 AM,Syntax Error,Electronic,VIP Lounge,9290,7648,1,39,33,30
3/15/2024 4:37:00 AM,Recursive Rhythms,Indie,Indie Arena,5185,4888,9,88,59,52
7/21/2023 7:07:40 AM,Bit Rate,Indie,DJ Tent,6646,5922,2,119,32,17
6/11/2023 2:02:40 PM,The Data Wranglers,Jazz,Main Stage,495,495,4,84,41,16
9/14/2023 11:25:05 AM,Parallel Processors,Electronic,Indie Arena,1038,1038,9,49,20,19
4/25/2023 3:59:38 AM,Hello World,Indie,Indie Arena,9928,9318,4,110,24,25
9/29/2023 12:59:13 PM,Syntax Error,Electronic,VIP Lounge,2610,1023,3,46,16,39
5/19/2023 1:43:15 PM,Recursive Rhythms,Indie,Indie Arena,4736,4736,1,97,38,49
1/20/2024 12:23:58 AM,Parallel Processors,Rock,Indie Arena,1749,1749,7,34,52,49
12/25/2023 4:39:22 PM,Byte Beat,Hip Hop,Indie Arena,3790,3790,6,89,42,36
12/20/2023 10:43:48 PM,The Algorithmics,Rock,Indie Arena,3535,3456,4,52,42,51
9/29/2023 9:41:27 AM,Cluster Funk,Indie,DJ Tent,3301,3301,6,75,59,36
6/12/2023 6:58:32 PM,Random Forest,Hip Hop,DJ Tent,4279,4279,6,81,53,25
10/5/2023 2:11:02 AM,Cache Miss,Hip Hop,DJ Tent,8505,3179,4,39,16,46
4/12/2023 10:40:06 PM,Cache Miss,Indie,DJ Tent,3337,154,6,75,19,49
12/23/2023 12:14:35 PM,The Algorithmics,Indie,Main Stage,3962,3962,8,57,25,45
5/7/2023 1:08:29 PM,Infinite Loop,Electronic,DJ Tent,158,158,3,72,24,59
6/5/2023 8:58:42 PM,The Algorithmics,Indie,Indie Arena,5038,3617,4,55,57,22
3/10/2024 5:48:11 AM,Segmentation Fault,Jazz,DJ Tent,3071,3071,1,84,16,34
9/14/2023 8:16:53 PM,Neural Nets,Indie,DJ Tent,9819,4440,4,77,29,56
7/21/2023 2:17:13 AM,Parallel Processors,Jazz,VIP Lounge,8414,6861,9,58,53,48
3/19/2024 8:32:04 AM,Byte Beat,Indie,Indie Arena,9728,1231,8,56,55,18
11/13/2023 6:16:25 AM,Cache Miss,Electronic,DJ Tent,9454,4694,4,47,51,32
4/25/2024 3:22:56 PM,Neural Nets,Jazz,DJ Tent,3445,3445,7,89,21,18
9/1/2023 2:51:46 PM,Cache Miss,Rock,DJ Tent,2586,2586,3,103,34,34
8/11/2023 2:53:45 AM,Syntax Error,Jazz,Main Stage,661,661,9,98,48,23
8/2/2023 1:21:34 AM,Cluster Funk,Electronic,DJ Tent,4081,4081,4,103,49,30
4/22/2023 5:58:12 PM,Neural Nets,Jazz,VIP Lounge,6361,5989,2,50,48,40
2/14/2024 3:13:50 AM,Hello World,Indie,Indie Arena,1837,1837,5,53,36,52
5/8/2024 9:49:14 AM,Parallel Processors,Indie,Indie Arena,9196,1824,2,32,45,39
5/1/2023 8:37:16 AM,Segmentation Fault,Electronic,DJ Tent,3654,3654,6,91,37,18
10/23/2023 6:08:05 PM,Recursive Rhythms,Hip Hop,DJ Tent,9226,496,1,31,33,55
5/31/2023 9:36:52 PM,Cluster Funk,Indie,DJ Tent,7195,158,6,95,18,59
7/26/2023 2:05:16 PM,Bit Rate,Rock,Indie Arena,8366,3289,4,71,38,55
4/25/2024 3:09:25 PM,Hello World,Electronic,Indie Arena,394,394,3,63,34,52
6/19/2023 12:36:40 AM,Random Forest,Jazz,Main Stage,8312,4103,2,71,53,33
3/5/2024 2:53:23 PM,Byte Beat,Jazz,VIP Lounge,9330,4587,7,49,42,28
8/24/2023 2:54:48 AM,Byte Beat,Rock,Main Stage,5430,5430,9,97,53,35
5/28/2023 4:46:09 PM,Epsilon Greedy,Indie,VIP Lounge,4755,1295,3,74,31,29
2/9/2024 9:33:36 PM,Epsilon Greedy,Electronic,Main Stage,1209,1209,6,104,33,17
6/25/2023 2:41:53 PM,Parallel Processors,Rock,Indie Arena,3871,3871,9,71,49,51
5/24/2023 9:49:31 AM,Neural Nets,Indie,Main Stage,8663,7791,2,76,46,30
9/1/2023 9:59:51 PM,Syntax Error,Electronic,VIP Lounge,6223,5155,7,34,53,28
11/8/2023 1:37:29 AM,Byte Beat,Jazz,DJ Tent,7747,2972,5,118,49,23
8/15/2023 12:14:44 AM,Infinite Loop,Electronic,VIP Lounge,1274,1274,5,78,44,21
3/6/2024 9:59:23 PM,Bit Rate,Hip Hop,DJ Tent,1264,1264,7,66,31,28
6/5/2023 7:28:54 PM,Parallel Processors,Electronic,Indie Arena,9384,2851,9,63,56,20
2/29/2024 2:05:03 PM,Neural Nets,Hip Hop,VIP Lounge,9575,7031,4,102,43,35
2/16/2024 8:23:31 AM,Epsilon Greedy,Electronic,Main Stage,9137,8271,9,99,20,29
8/26/2023 8:16:29 AM,Bit Rate,Hip Hop,VIP Lounge,8812,6552,9,47,31,22
10/15/2023 11:27:54 PM,Random Forest,Jazz,DJ Tent,4566,4566,4,107,31,48
11/18/2023 2:46:55 PM,Cache Miss,Indie,Indie Arena,5638,5638,3,48,28,54
6/13/2023 2:47:50 AM,Hello World,Hip Hop,Main Stage,7211,7211,2,107,38,15
11/10/2023 3:59:44 PM,Parallel Processors,Hip Hop,VIP Lounge,8534,414,9,69,51,46
10/26/2023 11:59:35 PM,Bit Rate,Jazz,DJ Tent,2900,1850,2,46,54,19
1/19/2024 7:55:24 PM,Syntax Error,Hip Hop,Main Stage,4707,4707,6,89,53,44
5/20/2023 5:32:24 PM,The Data Wranglers,Rock,Indie Arena,7362,7362,5,71,46,36
6/14/2023 12:47:57 AM,Parallel Processors,Jazz,Main Stage,1641,1641,5,110,50,34
6/28/2023 2:36:36 AM,Neural Nets,Rock,Indie Arena,2865,2865,4,101,51,30
4/24/2023 3:48:42 AM,Random Forest,Jazz,Main Stage,4591,4591,6,94,28,21
5/9/2023 4:59:46 PM,Recursive Rhythms,Hip Hop,VIP Lounge,3183,229,5,82,41,21
3/25/2024 4:18:36 PM,Hello World,Rock,DJ Tent,5456,3923,4,36,33,16
9/17/2023 1:55:46 AM,Byte Beat,Hip Hop,VIP Lounge,1957,1957,9,34,45,28
4/21/2024 4:57:47 PM,The Algorithmics,Jazz,VIP Lounge,869,869,6,53,23,45
4/13/2023 8:28:14 PM,Cache Miss,Hip Hop,Indie Arena,1522,823,3,57,52,55
12/1/2023 6:42:31 AM,Hello World,Rock,Indie Arena,8698,4510,6,91,31,28
3/30/2024 5:46:44 PM,Recursive Rhythms,Rock,Indie Arena,3072,402,1,46,33,19
3/28/2024 10:06:57 AM,Segmentation Fault,Hip Hop,VIP Lounge,1972,1972,5,49,58,25
4/27/2024 6:30:58 PM,Epsilon Greedy,Electronic,Main Stage,5699,5252,6,32,18,54
7/26/2023 6:52:15 PM,Hello World,Jazz,Main Stage,2369,2369,8,66,25,19
11/21/2023 1:08:00 PM,The Data Wranglers,Jazz,VIP Lounge,5375,4557,9,119,36,43
12/9/2023 10:39:59 PM,Random Forest,Hip Hop,VIP Lounge,4849,4849,3,44,18,25
9/28/2023 10:00:15 AM,Recursive Rhythms,Electronic,DJ Tent,6671,167,2,80,31,19
4/30/2024 1:32:27 PM,Cache Miss,Rock,Indie Arena,9473,531,4,77,22,46
4/30/2023 7:45:01 PM,Infinite Loop,Indie,Indie Arena,5172,4337,8,37,48,50
8/15/2023 3:55:47 AM,The Algorithmics,Indie,VIP Lounge,9731,6852,8,42,25,29
7/12/2023 9:23:08 AM,Cluster Funk,Hip Hop,VIP Lounge,5563,5563,3,77,45,33
5/7/2023 9:54:38 PM,Hello World,Electronic,Main Stage,7550,4527,4,32,25,36
2/5/2024 12:31:15 PM,Infinite Loop,Electronic,VIP Lounge,8520,6583,3,94,52,48
5/29/2023 6:46:04 AM,Infinite Loop,Jazz,Main Stage,4059,293,2,102,35,31
1/9/2024 8:43:55 PM,The Query Strings,Rock,VIP Lounge,1413,1413,4,60,44,26
8/25/2023 5:10:50 AM,Recursive Rhythms,Electronic,DJ Tent,7947,915,6,55,24,39
12/4/2023 6:45:04 PM,The Data Wranglers,Indie,DJ Tent,1170,1170,5,110,40,31
11/28/2023 3:55:53 AM,The Algorithmics,Rock,Main Stage,9266,5379,3,85,41,24
8/14/2023 5:15:14 AM,The Data Wranglers,Rock,Indie Arena,3385,653,2,63,22,42
1/17/2024 3:11:46 PM,The Query Strings,Hip Hop,DJ Tent,9049,5806,9,38,53,32
11/3/2023 3:14:30 AM,Segmentation Fault,Electronic,Main Stage,3195,3195,1,91,22,32
9/21/2023 11:59:02 PM,Cluster Funk,Hip Hop,VIP Lounge,420,420,9,42,22,59
8/21/2023 8:26:49 PM,Epsilon Greedy,Electronic,VIP Lounge,2421,2065,1,98,48,46
11/9/2023 12:47:55 AM,Recursive Rhythms,Jazz,Main Stage,655,655,7,70,30,28
8/25/2023 7:34:51 PM,Random Forest,Hip Hop,Indie Arena,5039,3430,6,106,55,30
1/27/2024 3:39:15 PM,Cache Miss,Hip Hop,Main Stage,5532,3820,7,30,27,32
4/18/2024 2:39:49 PM,Random Forest,Indie,Main Stage,1486,1486,3,118,37,30
8/4/2023 8:32:22 PM,Cluster Funk,Hip Hop,DJ Tent,4863,1663,3,76,26,31
9/24/2023 4:27:43 AM,Random Forest,Electronic,Main Stage,6954,1929,1,33,41,21
10/9/2023 8:35:30 PM,The Query Strings,Indie,Main Stage,7737,5422,4,92,36,26
4/2/2024 7:33:24 AM,The Data Wranglers,Hip Hop,VIP Lounge,4941,4158,2,81,46,48
4/20/2024 10:47:26 AM,Random Forest,Hip Hop,DJ Tent,3967,3967,8,39,41,24
1/19/2024 2:30:37 PM,Recursive Rhythms,Jazz,VIP Lounge,3893,3893,3,57,16,19
9/21/2023 4:02:16 PM,Neural Nets,Hip Hop,VIP Lounge,7473,7473,7,35,59,35
9/8/2023 5:57:32 AM,Infinite Loop,Rock,Indie Arena,2613,198,7,56,47,17
7/7/2023 9:51:15 AM,Parallel Processors,Indie,Indie Arena,3903,1804,9,41,40,33
4/20/2024 4:32:54 PM,Infinite Loop,Rock,DJ Tent,2427,2427,6,91,42,59
6/2/2023 4:46:27 AM,Hello World,Indie,DJ Tent,8909,6731,1,81,33,58
12/24/2023 10:55:31 PM,Cluster Funk,Jazz,Indie Arena,2265,2265,8,77,57,49
10/10/2023 1:51:41 PM,Segmentation Fault,Hip Hop,Indie Arena,3408,3408,1,96,19,20
5/11/2023 5:03:04 PM,Syntax Error,Hip Hop,Indie Arena,6552,6552,3,75,47,28
10/25/2023 11:45:17 PM,Syntax Error,Hip Hop,Indie Arena,8167,5442,5,103,34,18
8/23/2023 9:35:33 PM,Neural Nets,Indie,Indie Arena,7742,7742,8,44,44,59
5/23/2023 11:06:27 AM,Bit Rate,Hip Hop,VIP Lounge,6504,3102,9,100,59,32
12/19/2023 7:59:50 PM,The Query Strings,Rock,DJ Tent,1092,1092,7,65,22,43
10/18/2023 9:32:00 PM,Byte Beat,Hip Hop,VIP Lounge,5524,4268,9,43,52,49
3/11/2024 3:31:54 AM,The Query Strings,Jazz,VIP Lounge,9669,4853,3,107,31,52
5/26/2023 4:36:49 PM,Infinite Loop,Rock,Main Stage,4481,2427,5,32,58,30
11/6/2023 5:27:35 AM,Segmentation Fault,Hip Hop,VIP Lounge,3274,3274,8,96,15,34
9/23/2023 5:46:29 AM,Segmentation Fault,Hip Hop,Indie Arena,4882,3232,1,115,17,38
9/13/2023 7:36:51 PM,Neural Nets,Electronic,Indie Arena,9597,3210,8,48,40,49
4/28/2024 2:51:06 AM,Hello World,Indie,Main Stage,5660,5660,7,105,45,58
12/7/2023 9:55:21 AM,Cluster Funk,Rock,Main Stage,7560,7560,1,83,22,33
10/3/2023 10:48:29 PM,Parallel Processors,Electronic,Main Stage,3178,2636,6,98,57,18
12/3/2023 1:40:03 AM,The Algorithmics,Jazz,Main Stage,3083,2698,1,39,22,47
2/10/2024 4:00:35 AM,Epsilon Greedy,Indie,Main Stage,7359,7359,2,62,49,16
9/3/2023 11:48:33 PM,The Algorithmics,Rock,VIP Lounge,6154,1767,5,42,53,27
8/12/2023 5:44:57 AM,The Data Wranglers,Hip Hop,Main Stage,2623,2623,2,80,42,59
2/10/2024 4:41:53 AM,Recursive Rhythms,Rock,VIP Lounge,9777,7457,1,61,18,44
12/3/2023 11:19:54 AM,Neural Nets,Hip Hop,DJ Tent,4681,920,6,104,30,48
12/25/2023 8:21:49 AM,Bit Rate,Indie,Main Stage,5709,3624,8,53,27,44
1/15/2024 9:57:48 PM,Segmentation Fault,Hip Hop,Main Stage,2101,2101,8,64,34,38
2/18/2024 1:24:53 PM,Syntax Error,Jazz,VIP Lounge,1487,1487,8,112,19,58
5/7/2024 9:29:49 PM,Byte Beat,Hip Hop,DJ Tent,6652,6652,6,99,51,47
6/6/2023 2:59:33 PM,Parallel Processors,Jazz,VIP Lounge,1130,1130,3,69,34,55
9/6/2023 3:30:48 AM,Cache Miss,Indie,VIP Lounge,1320,1320,1,83,38,24
8/9/2023 12:17:24 AM,Recursive Rhythms,Indie,Main Stage,6135,5819,2,73,50,32
12/5/2023 10:24:50 AM,The Algorithmics,Rock,Indie Arena,9910,5783,5,91,48,33
10/3/2023 8:12:18 AM,Segmentation Fault,Jazz,Indie Arena,9555,9555,5,97,59,21
4/23/2023 12:03:10 PM,Hello World,Jazz,VIP Lounge,6623,3290,1,62,48,33
10/8/2023 4:50:58 PM,Bit Rate,Electronic,Main Stage,8174,8174,1,106,33,38
5/18/2023 2:33:45 PM,Hello World,Electronic,DJ Tent,9163,4943,9,85,31,29
10/11/2023 10:03:33 AM,Segmentation Fault,Electronic,Indie Arena,934,934,2,65,19,55
7/30/2023 6:12:15 PM,Bit Rate,Hip Hop,DJ Tent,9210,936,7,83,39,56
2/5/2024 3:43:35 PM,Hello World,Electronic,Indie Arena,1824,1824,4,48,32,37
4/21/2023 11:32:08 AM,Bit Rate,Jazz,Main Stage,6698,5368,7,72,22,18
11/14/2023 10:52:40 AM,Neural Nets,Hip Hop,VIP Lounge,2513,2308,8,41,41,52
2/2/2024 9:46:42 PM,The Algorithmics,Indie,DJ Tent,9605,4432,5,40,29,18
4/23/2024 12:09:41 AM,Segmentation Fault,Rock,DJ Tent,6093,1835,1,99,59,19
1/20/2024 6:34:05 AM,Segmentation Fault,Electronic,VIP Lounge,4598,4598,4,41,27,55
5/2/2024 11:56:20 AM,Bit Rate,Indie,DJ Tent,2205,345,3,70,30,58
8/30/2023 12:56:30 AM,Cluster Funk,Jazz,Indie Arena,2668,2647,5,54,36,37
5/20/2023 2:58:02 PM,The Data Wranglers,Rock,VIP Lounge,9430,730,6,32,34,54
4/16/2023 1:17:54 PM,Recursive Rhythms,Indie,Indie Arena,309,309,2,32,27,51
9/30/2023 4:14:57 PM,Byte Beat,Rock,Indie Arena,9356,4348,7,113,34,25
4/30/2023 9:02:42 AM,Hello World,Electronic,Main Stage,5011,374,3,57,16,25
12/24/2023 6:43:44 AM,Cluster Funk,Jazz,Indie Arena,2320,2320,1,52,49,27
5/1/2023 4:19:10 PM,Infinite Loop,Rock,Main Stage,333,333,3,77,33,28
5/26/2023 3:32:58 PM,Infinite Loop,Indie,DJ Tent,892,892,9,96,59,22
8/12/2023 10:12:23 AM,Epsilon Greedy,Electronic,DJ Tent,3210,810,6,71,51,39
10/2/2023 6:29:22 AM,Epsilon Greedy,Electronic,Main Stage,2266,2266,6,117,20,32
2/19/2024 6:27:47 PM,Random Forest,Indie,Indie Arena,8626,8626,4,69,28,58
5/26/2023 7:42:34 AM,Parallel Processors,Indie,VIP Lounge,9651,956,8,35,18,58
6/17/2023 5:13:39 PM,Neural Nets,Rock,VIP Lounge,5293,5293,5,49,36,32
1/11/2024 12:43:07 PM,Neural Nets,Hip Hop,Main Stage,1314,414,7,40,53,24
10/27/2023 2:20:32 AM,The Query Strings,Electronic,DJ Tent,4519,4519,9,56,50,21
11/3/2023 12:07:22 PM,Recursive Rhythms,Rock,DJ Tent,7414,3463,5,50,48,58
5/25/2023 8:47:25 PM,Bit Rate,Indie,VIP Lounge,8575,8077,5,42,41,28
12/7/2023 8:23:15 AM,Recursive Rhythms,Rock,Main Stage,312,312,4,115,21,29
5/22/2023 1:45:48 AM,Byte Beat,Indie,VIP Lounge,1758,1758,6,64,17,30
7/24/2023 6:10:46 PM,Syntax Error,Jazz,Indie Arena,5124,3131,2,76,47,16
3/2/2024 11:44:05 PM,Segmentation Fault,Indie,Indie Arena,9709,5498,3,115,16,44
6/2/2023 12:54:28 AM,Hello World,Indie,Main Stage,6017,3308,1,57,56,44
4/7/2024 12:29:46 AM,Byte Beat,Indie,Main Stage,5241,2157,2,50,30,32
10/28/2023 11:05:11 PM,Random Forest,Hip Hop,Indie Arena,1894,1894,2,47,39,45
11/15/2023 3:08:59 AM,Infinite Loop,Indie,DJ Tent,6088,2983,8,60,29,58
9/13/2023 4:59:23 PM,Infinite Loop,Electronic,Main Stage,8396,2879,8,89,38,27
2/3/2024 10:10:41 PM,Recursive Rhythms,Electronic,Indie Arena,5678,5678,2,66,29,34
9/23/2023 8:47:21 AM,The Query Strings,Rock,Indie Arena,5651,5056,6,50,45,49
5/1/2023 10:19:55 PM,Cluster Funk,Hip Hop,DJ Tent,3945,1609,5,43,28,37
2/11/2024 10:36:16 AM,Byte Beat,Rock,DJ Tent,7006,1791,3,118,28,56
4/27/2023 2:46:01 AM,Cluster Funk,Electronic,DJ Tent,478,478,5,89,20,47
4/5/2024 1:34:01 PM,Epsilon Greedy,Electronic,DJ Tent,3393,3393,5,52,28,52
11/30/2023 8:52:05 PM,Infinite Loop,Jazz,VIP Lounge,3429,675,5,58,31,49
1/30/2024 4:11:52 AM,Hello World,Indie,DJ Tent,4908,1740,3,76,32,50
3/13/2024 2:46:57 PM,Recursive Rhythms,Electronic,VIP Lounge,8037,8037,3,59,34,34
5/26/2023 1:56:29 AM,Random Forest,Rock,Main Stage,324,324,4,119,31,17
9/12/2023 6:47:52 PM,Segmentation Fault,Rock,Indie Arena,837,837,7,113,30,22
3/27/2024 10:51:49 PM,Syntax Error,Indie,VIP Lounge,335,335,2,67,54,54
6/18/2023 8:54:43 PM,Infinite Loop,Indie,Main Stage,811,811,4,112,53,46
2/10/2024 8:24:40 PM,The Algorithmics,Jazz,Main Stage,6088,6057,4,56,46,43
2/17/2024 11:19:34 AM,The Algorithmics,Hip Hop,VIP Lounge,1988,1988,1,118,58,21
11/17/2023 1:51:16 AM,Recursive Rhythms,Rock,Main Stage,7273,7273,8,116,23,16
2/25/2024 7:01:37 AM,Hello World,Indie,Main Stage,1359,1359,1,44,41,35
5/5/2024 12:24:41 AM,Syntax Error,Rock,VIP Lounge,5346,4540,8,88,47,20
3/19/2024 8:19:04 PM,Syntax Error,Indie,Main Stage,7371,7371,7,32,24,42
3/5/2024 2:00:32 PM,Parallel Processors,Electronic,DJ Tent,848,848,9,39,31,56
12/17/2023 3:09:53 AM,The Data Wranglers,Rock,DJ Tent,3651,3651,8,108,50,50
4/21/2024 9:50:48 AM,Neural Nets,Electronic,Indie Arena,6500,2720,5,109,31,46
5/10/2023 1:17:27 PM,Random Forest,Rock,Main Stage,6743,6743,8,46,32,59
2/16/2024 8:23:40 PM,Byte Beat,Hip Hop,Indie Arena,8801,2630,3,112,37,56
4/28/2023 6:40:52 PM,Hello World,Jazz,DJ Tent,1923,1923,7,40,48,23
3/14/2024 7:28:02 PM,Infinite Loop,Electronic,DJ Tent,6952,6952,4,77,22,25
3/5/2024 10:06:24 PM,Infinite Loop,Indie,DJ Tent,7877,2556,5,34,27,37
1/14/2024 1:27:05 AM,Infinite Loop,Hip Hop,Main Stage,4332,4332,9,98,37,25
6/14/2023 11:32:49 AM,The Algorithmics,Rock,Main Stage,6619,4350,7,93,34,16
5/4/2024 11:38:26 PM,The Algorithmics,Electronic,DJ Tent,1877,1877,4,43,36,17
4/26/2023 1:55:27 PM,Cache Miss,Rock,Indie Arena,1322,1322,6,79,37,25
1/22/2024 9:01:55 AM,Neural Nets,Rock,Indie Arena,7730,7052,7,55,55,49
7/20/2023 6:24:55 PM,The Algorithmics,Rock,VIP Lounge,1877,1877,9,101,49,29
4/29/2024 3:15:37 AM,The Algorithmics,Jazz,DJ Tent,9596,6181,4,98,17,57
9/2/2023 10:04:28 AM,Neural Nets,Jazz,Indie Arena,7590,7590,3,36,48,25
11/12/2023 5:25:28 AM,Bit Rate,Indie,DJ Tent,4959,4587,8,45,47,45
5/9/2023 1:15:54 PM,The Algorithmics,Electronic,Indie Arena,8993,2385,1,84,31,42
9/21/2023 10:51:49 AM,Cache Miss,Hip Hop,VIP Lounge,8218,4371,9,107,59,42
5/7/2023 11:01:57 AM,Syntax Error,Hip Hop,VIP Lounge,3089,3035,1,85,33,46
4/7/2024 12:26:14 PM,Syntax Error,Hip Hop,DJ Tent,8443,609,2,33,44,39
5/7/2024 10:44:07 AM,Parallel Processors,Rock,Indie Arena,1425,763,8,77,37,34
12/16/2023 2:16:11 AM,Bit Rate,Jazz,Main Stage,9593,4643,9,46,29,42
4/8/2024 5:49:10 PM,Infinite Loop,Electronic,VIP Lounge,5227,4038,7,65,28,39
2/22/2024 8:58:11 PM,The Query Strings,Rock,DJ Tent,9098,6253,3,99,16,25
4/14/2023 10:51:43 AM,The Algorithmics,Jazz,DJ Tent,2822,306,7,109,53,33
6/21/2023 3:53:18 AM,Parallel Processors,Jazz,Indie Arena,4756,4756,6,67,32,42
7/18/2023 1:10:18 AM,The Query Strings,Electronic,DJ Tent,1425,87,2,91,20,15
9/22/2023 7:58:39 AM,Cache Miss,Electronic,VIP Lounge,4233,4233,3,77,46,19
7/1/2023 6:03:28 PM,The Data Wranglers,Electronic,DJ Tent,9451,9451,5,39,35,24
2/28/2024 12:26:51 PM,Epsilon Greedy,Rock,DJ Tent,2969,1882,4,65,54,56
3/15/2024 6:37:30 AM,Cache Miss,Indie,Main Stage,1342,1342,2,58,42,48
9/11/2023 6:49:53 PM,Epsilon Greedy,Electronic,Main Stage,8639,5217,4,107,41,50
3/17/2024 10:27:57 PM,Hello World,Indie,VIP Lounge,1931,482,8,33,16,16
9/8/2023 4:40:36 PM,Recursive Rhythms,Rock,Indie Arena,1669,1669,5,73,47,32
3/5/2024 11:42:25 PM,The Data Wranglers,Indie,Main Stage,7346,6461,5,85,30,27
7/26/2023 9:19:32 PM,Syntax Error,Hip Hop,Indie Arena,2018,1801,3,71,53,19
10/5/2023 1:46:50 PM,Random Forest,Indie,VIP Lounge,6516,5047,8,42,36,34
2/9/2024 11:44:46 AM,Parallel Processors,Electronic,Main Stage,3332,3332,6,75,57,16
9/25/2023 4:36:16 AM,The Algorithmics,Rock,Indie Arena,3858,3858,2,111,27,25
3/6/2024 9:02:10 PM,Syntax Error,Electronic,Main Stage,6097,306,2,62,16,44
12/24/2023 5:34:31 PM,Epsilon Greedy,Hip Hop,VIP Lounge,2455,721,9,50,28,46
5/5/2023 8:56:19 AM,Bit Rate,Electronic,VIP Lounge,9689,539,7,109,52,46
2/18/2024 2:40:47 AM,Neural Nets,Electronic,Main Stage,1924,1924,9,108,55,52
11/13/2023 4:17:26 PM,Recursive Rhythms,Electronic,Indie Arena,7380,2146,6,86,42,42
8/16/2023 1:03:18 AM,Bit Rate,Jazz,DJ Tent,4160,1732,5,98,21,24
5/3/2024 10:08:11 AM,Hello World,Hip Hop,DJ Tent,5424,2510,1,99,32,36
6/1/2023 6:33:22 AM,Neural Nets,Electronic,Main Stage,504,504,6,96,55,31
5/12/2023 8:36:20 AM,Parallel Processors,Electronic,Indie Arena,1821,1821,6,77,50,36
5/31/2023 11:23:25 PM,The Data Wranglers,Electronic,DJ Tent,5416,2025,3,105,55,57
8/23/2023 4:55:31 PM,Syntax Error,Rock,VIP Lounge,3945,3266,3,62,50,33
8/17/2023 12:34:18 AM,Parallel Processors,Jazz,Indie Arena,4310,4310,3,65,58,31
9/20/2023 10:58:27 AM,Epsilon Greedy,Rock,DJ Tent,164,164,3,62,18,38
10/3/2023 10:37:18 AM,Parallel Processors,Jazz,Indie Arena,9591,5742,7,60,44,50
7/17/2023 1:51:08 AM,Cluster Funk,Electronic,Main Stage,6482,6482,2,50,38,46
9/12/2023 5:48:30 PM,The Algorithmics,Hip Hop,Indie Arena,9707,4989,2,56,34,50
8/29/2023 7:06:16 PM,The Data Wranglers,Indie,DJ Tent,1068,1068,3,101,45,42
2/26/2024 11:52:57 AM,The Algorithmics,Indie,Main Stage,468,468,7,91,38,28
7/7/2023 4:43:32 PM,Bit Rate,Electronic,Indie Arena,8524,4579,3,55,21,50
4/28/2024 7:04:48 AM,The Data Wranglers,Rock,VIP Lounge,2342,2342,7,95,40,20
8/16/2023 1:47:37 AM,Cluster Funk,Hip Hop,DJ Tent,5102,5102,9,41,27,23
9/12/2023 7:26:55 AM,Parallel Processors,Jazz,Main Stage,3183,1026,4,51,22,35
4/24/2024 1:57:48 AM,Hello World,Electronic,Indie Arena,8173,7395,7,46,19,26
7/29/2023 11:54:49 AM,Epsilon Greedy,Hip Hop,VIP Lounge,9212,95,9,36,58,44
