Date,Event Name,Ticket Type,Attendee Age,Attendee Gender,Transportation Mode,Accommodation Type,Ticket Price,Tickets Sold
2023-06-11 05:12:09.995013,Cosmic Sound Festival,Group Discount,18-25,Non-binary,Walk,Camping,255,405
2023-06-12 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,18-25,Prefer not to say,Car,Airbnb,115,471
2023-06-13 05:12:09.995013,ElectroBeat Expo,Backstage Pass,18-25,Non-binary,Car,Stay with Friends/Family,51,192
2023-06-14 05:12:09.995013,RockNRebel Music Fest,Group Discount,18-25,Prefer not to say,Bike,Hostel,193,393
2023-06-15 05:12:09.995013,Cosmic Sound Festival,Group Discount,46-55,Prefer not to say,Rideshare,Stay with Friends/Family,86,154
2023-06-16 05:12:09.995013,Retro Rewind Concert,Group Discount,Over 55,Prefer not to say,Rideshare,Hostel,297,476
2023-06-17 05:12:09.995013,Jazz & Jive Weekend,Group Discount,36-45,Female,Walk,Hostel,116,347
2023-06-18 05:12:09.995013,ElectroBeat Expo,General Admission,18-25,Non-binary,Walk,Camping,202,133
2023-06-19 05:12:09.995013,Cosmic Sound Festival,VIP,26-35,Prefer not to say,Public Transport,Stay with Friends/Family,239,209
2023-06-20 05:12:09.995013,ElectroBeat Expo,Backstage Pass,46-55,Female,Car,Stay with Friends/Family,270,479
2023-06-21 05:12:09.995013,Cosmic Sound Festival,General Admission,Over 55,Male,Public Transport,Hostel,134,415
2023-06-22 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,36-45,Male,Rideshare,Camping,208,485
2023-06-23 05:12:09.995013,RockNRebel Music Fest,General Admission,26-35,Prefer not to say,Car,Camping,70,26
2023-06-24 05:12:09.995013,ElectroBeat Expo,Group Discount,18-25,Female,Rideshare,Hostel,198,333
2023-06-25 05:12:09.995013,Cosmic Sound Festival,General Admission,18-25,Male,Bike,Hostel,261,444
2023-06-26 05:12:09.995013,Retro Rewind Concert,Group Discount,18-25,Female,Bike,Stay with Friends/Family,116,428
2023-06-27 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,18-25,Male,Rideshare,Camping,181,428
2023-06-28 05:12:09.995013,RockNRebel Music Fest,Group Discount,Over 55,Prefer not to say,Car,Hotel,192,307
2023-06-29 05:12:09.995013,Cosmic Sound Festival,General Admission,Under 18,Non-binary,Car,Airbnb,295,91
2023-06-30 05:12:09.995013,ElectroBeat Expo,Backstage Pass,46-55,Male,Walk,Hotel,99,64
2023-07-01 05:12:09.995013,Retro Rewind Concert,Group Discount,Over 55,Non-binary,Walk,Hostel,62,236
2023-07-02 05:12:09.995013,Retro Rewind Concert,Backstage Pass,Under 18,Male,Walk,Hotel,88,430
2023-07-03 05:12:09.995013,Jazz & Jive Weekend,VIP,Under 18,Female,Rideshare,Hostel,141,271
2023-07-04 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,36-45,Male,Public Transport,Airbnb,173,437
2023-07-05 05:12:09.995013,RockNRebel Music Fest,Group Discount,Under 18,Female,Bike,Hostel,142,122
2023-07-06 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,Under 18,Non-binary,Walk,Airbnb,202,129
2023-07-07 05:12:09.995013,Cosmic Sound Festival,Group Discount,18-25,Female,Car,Hotel,225,81
2023-07-08 05:12:09.995013,Retro Rewind Concert,Backstage Pass,Over 55,Male,Public Transport,Hostel,187,401
2023-07-09 05:12:09.995013,Retro Rewind Concert,General Admission,18-25,Female,Rideshare,Airbnb,95,143
2023-07-10 05:12:09.995013,ElectroBeat Expo,Backstage Pass,Under 18,Prefer not to say,Walk,Camping,251,244
2023-07-11 05:12:09.995013,Cosmic Sound Festival,VIP,36-45,Female,Public Transport,Stay with Friends/Family,251,463
2023-07-12 05:12:09.995013,RockNRebel Music Fest,Group Discount,46-55,Female,Car,Stay with Friends/Family,289,15
2023-07-13 05:12:09.995013,ElectroBeat Expo,Backstage Pass,Over 55,Prefer not to say,Car,Stay with Friends/Family,74,409
2023-07-14 05:12:09.995013,Retro Rewind Concert,Group Discount,36-45,Prefer not to say,Public Transport,Airbnb,235,331
2023-07-15 05:12:09.995013,Retro Rewind Concert,Group Discount,36-45,Female,Public Transport,Stay with Friends/Family,139,356
2023-07-16 05:12:09.995013,Jazz & Jive Weekend,VIP,Under 18,Prefer not to say,Walk,Hostel,80,362
2023-07-17 05:12:09.995013,RockNRebel Music Fest,Group Discount,18-25,Prefer not to say,Car,Airbnb,175,255
2023-07-18 05:12:09.995013,Cosmic Sound Festival,General Admission,Under 18,Male,Bike,Airbnb,56,240
2023-07-19 05:12:09.995013,Cosmic Sound Festival,General Admission,Under 18,Male,Bike,Stay with Friends/Family,117,345
2023-07-20 05:12:09.995013,RockNRebel Music Fest,General Admission,26-35,Non-binary,Bike,Airbnb,151,164
2023-07-21 05:12:09.995013,Jazz & Jive Weekend,General Admission,Over 55,Prefer not to say,Rideshare,Stay with Friends/Family,162,173
2023-07-22 05:12:09.995013,ElectroBeat Expo,Group Discount,Over 55,Prefer not to say,Bike,Camping,98,149
2023-07-23 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,Under 18,Female,Walk,Hostel,122,220
2023-07-24 05:12:09.995013,RockNRebel Music Fest,General Admission,46-55,Male,Rideshare,Stay with Friends/Family,81,187
2023-07-25 05:12:09.995013,Jazz & Jive Weekend,Group Discount,18-25,Prefer not to say,Bike,Hotel,196,29
2023-07-26 05:12:09.995013,RockNRebel Music Fest,VIP,26-35,Prefer not to say,Car,Stay with Friends/Family,82,455
2023-07-27 05:12:09.995013,ElectroBeat Expo,VIP,26-35,Non-binary,Bike,Camping,90,252
2023-07-28 05:12:09.995013,RockNRebel Music Fest,VIP,18-25,Female,Car,Hotel,96,81
2023-07-29 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,46-55,Non-binary,Rideshare,Hotel,286,414
2023-07-30 05:12:09.995013,Cosmic Sound Festival,VIP,18-25,Prefer not to say,Car,Stay with Friends/Family,147,281
2023-07-31 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,26-35,Prefer not to say,Walk,Airbnb,298,158
2023-08-01 05:12:09.995013,Retro Rewind Concert,General Admission,Over 55,Prefer not to say,Walk,Hotel,174,420
2023-08-02 05:12:09.995013,RockNRebel Music Fest,General Admission,Over 55,Female,Walk,Hostel,258,40
2023-08-03 05:12:09.995013,ElectroBeat Expo,Group Discount,36-45,Non-binary,Rideshare,Hostel,95,101
2023-08-04 05:12:09.995013,ElectroBeat Expo,General Admission,46-55,Female,Rideshare,Airbnb,163,341
2023-08-05 05:12:09.995013,Cosmic Sound Festival,VIP,Over 55,Prefer not to say,Car,Hostel,286,100
2023-08-06 05:12:09.995013,ElectroBeat Expo,General Admission,46-55,Male,Bike,Airbnb,53,47
2023-08-07 05:12:09.995013,ElectroBeat Expo,General Admission,Over 55,Male,Rideshare,Hostel,231,141
2023-08-08 05:12:09.995013,RockNRebel Music Fest,VIP,26-35,Male,Car,Hotel,217,382
2023-08-09 05:12:09.995013,RockNRebel Music Fest,VIP,36-45,Female,Public Transport,Hostel,66,45
2023-08-10 05:12:09.995013,ElectroBeat Expo,Backstage Pass,Under 18,Male,Bike,Hostel,226,453
2023-08-11 05:12:09.995013,Cosmic Sound Festival,General Admission,Over 55,Prefer not to say,Walk,Airbnb,114,69
2023-08-12 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,46-55,Male,Public Transport,Airbnb,172,186
2023-08-13 05:12:09.995013,ElectroBeat Expo,Group Discount,Over 55,Female,Rideshare,Stay with Friends/Family,118,364
2023-08-14 05:12:09.995013,Cosmic Sound Festival,VIP,Under 18,Male,Car,Stay with Friends/Family,163,54
2023-08-15 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,46-55,Male,Car,Airbnb,81,214
2023-08-16 05:12:09.995013,ElectroBeat Expo,Backstage Pass,46-55,Prefer not to say,Walk,Airbnb,156,219
2023-08-17 05:12:09.995013,RockNRebel Music Fest,Group Discount,Over 55,Prefer not to say,Public Transport,Airbnb,140,172
2023-08-18 05:12:09.995013,Retro Rewind Concert,Backstage Pass,36-45,Male,Public Transport,Hostel,153,5
2023-08-19 05:12:09.995013,Jazz & Jive Weekend,General Admission,46-55,Male,Bike,Stay with Friends/Family,166,334
2023-08-20 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,26-35,Prefer not to say,Bike,Camping,215,388
2023-08-21 05:12:09.995013,Cosmic Sound Festival,VIP,Over 55,Non-binary,Public Transport,Camping,58,274
2023-08-22 05:12:09.995013,Cosmic Sound Festival,VIP,26-35,Female,Car,Hotel,193,230
2023-08-23 05:12:09.995013,Cosmic Sound Festival,General Admission,26-35,Female,Rideshare,Camping,166,104
2023-08-24 05:12:09.995013,ElectroBeat Expo,VIP,26-35,Non-binary,Bike,Hotel,51,403
2023-08-25 05:12:09.995013,Jazz & Jive Weekend,General Admission,18-25,Non-binary,Public Transport,Stay with Friends/Family,60,61
2023-08-26 05:12:09.995013,RockNRebel Music Fest,VIP,Over 55,Female,Public Transport,Airbnb,159,134
2023-08-27 05:12:09.995013,ElectroBeat Expo,Group Discount,Over 55,Male,Walk,Stay with Friends/Family,55,435
2023-08-28 05:12:09.995013,Retro Rewind Concert,Group Discount,46-55,Non-binary,Rideshare,Hostel,182,488
2023-08-29 05:12:09.995013,RockNRebel Music Fest,General Admission,Under 18,Non-binary,Bike,Hotel,197,323
2023-08-30 05:12:09.995013,Cosmic Sound Festival,Group Discount,46-55,Female,Bike,Stay with Friends/Family,251,151
2023-08-31 05:12:09.995013,ElectroBeat Expo,Backstage Pass,46-55,Prefer not to say,Bike,Stay with Friends/Family,211,158
2023-09-01 05:12:09.995013,Cosmic Sound Festival,General Admission,46-55,Non-binary,Walk,Stay with Friends/Family,260,150
2023-09-02 05:12:09.995013,Cosmic Sound Festival,Group Discount,26-35,Prefer not to say,Bike,Camping,118,168
2023-09-03 05:12:09.995013,Jazz & Jive Weekend,Group Discount,26-35,Non-binary,Public Transport,Airbnb,159,93
2023-09-04 05:12:09.995013,Jazz & Jive Weekend,General Admission,18-25,Female,Public Transport,Hostel,91,153
2023-09-05 05:12:09.995013,Cosmic Sound Festival,Group Discount,Over 55,Non-binary,Walk,Stay with Friends/Family,242,316
2023-09-06 05:12:09.995013,ElectroBeat Expo,VIP,Over 55,Female,Car,Hotel,297,162
2023-09-07 05:12:09.995013,Jazz & Jive Weekend,Group Discount,18-25,Non-binary,Walk,Stay with Friends/Family,258,389
2023-09-08 05:12:09.995013,ElectroBeat Expo,Group Discount,Over 55,Female,Car,Airbnb,127,5
2023-09-09 05:12:09.995013,Jazz & Jive Weekend,VIP,18-25,Female,Rideshare,Hotel,229,333
2023-09-10 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,18-25,Non-binary,Walk,Camping,184,49
2023-09-11 05:12:09.995013,RockNRebel Music Fest,General Admission,Over 55,Male,Bike,Hostel,291,412
2023-09-12 05:12:09.995013,Jazz & Jive Weekend,General Admission,46-55,Non-binary,Public Transport,Stay with Friends/Family,64,66
2023-09-13 05:12:09.995013,ElectroBeat Expo,Group Discount,18-25,Female,Bike,Hostel,236,62
2023-09-14 05:12:09.995013,RockNRebel Music Fest,VIP,Under 18,Female,Rideshare,Hotel,135,133
2023-09-15 05:12:09.995013,Jazz & Jive Weekend,Group Discount,46-55,Prefer not to say,Public Transport,Airbnb,257,102
2023-09-16 05:12:09.995013,Retro Rewind Concert,General Admission,26-35,Female,Rideshare,Hotel,241,416
2023-09-17 05:12:09.995013,Cosmic Sound Festival,General Admission,46-55,Male,Car,Hostel,107,352
2023-09-18 05:12:09.995013,RockNRebel Music Fest,General Admission,46-55,Non-binary,Car,Camping,67,446
2023-09-19 05:12:09.995013,Cosmic Sound Festival,General Admission,18-25,Prefer not to say,Car,Hostel,246,98
2023-09-20 05:12:09.995013,Retro Rewind Concert,General Admission,26-35,Prefer not to say,Car,Stay with Friends/Family,72,348
2023-09-21 05:12:09.995013,Cosmic Sound Festival,Group Discount,18-25,Female,Rideshare,Camping,253,350
2023-09-22 05:12:09.995013,Jazz & Jive Weekend,Group Discount,46-55,Male,Walk,Hostel,55,45
2023-09-23 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,Under 18,Non-binary,Car,Hotel,234,472
2023-09-24 05:12:09.995013,Retro Rewind Concert,Backstage Pass,46-55,Prefer not to say,Walk,Stay with Friends/Family,242,376
2023-09-25 05:12:09.995013,ElectroBeat Expo,General Admission,Over 55,Female,Rideshare,Stay with Friends/Family,114,16
2023-09-26 05:12:09.995013,Jazz & Jive Weekend,General Admission,46-55,Prefer not to say,Walk,Stay with Friends/Family,175,100
2023-09-27 05:12:09.995013,Jazz & Jive Weekend,General Admission,18-25,Female,Public Transport,Stay with Friends/Family,234,152
2023-09-28 05:12:09.995013,Cosmic Sound Festival,Group Discount,18-25,Female,Bike,Stay with Friends/Family,139,244
2023-09-29 05:12:09.995013,Retro Rewind Concert,General Admission,Under 18,Female,Public Transport,Hostel,159,415
2023-09-30 05:12:09.995013,ElectroBeat Expo,Group Discount,Over 55,Female,Car,Airbnb,241,320
2023-10-01 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,26-35,Male,Bike,Camping,262,93
2023-10-02 05:12:09.995013,ElectroBeat Expo,VIP,Over 55,Prefer not to say,Car,Camping,125,462
2023-10-03 05:12:09.995013,Retro Rewind Concert,General Admission,36-45,Prefer not to say,Public Transport,Airbnb,249,42
2023-10-04 05:12:09.995013,Cosmic Sound Festival,General Admission,36-45,Female,Rideshare,Stay with Friends/Family,230,2
2023-10-05 05:12:09.995013,RockNRebel Music Fest,General Admission,36-45,Non-binary,Bike,Camping,124,129
2023-10-06 05:12:09.995013,Retro Rewind Concert,General Admission,Over 55,Prefer not to say,Bike,Hostel,122,354
2023-10-07 05:12:09.995013,ElectroBeat Expo,Backstage Pass,46-55,Male,Rideshare,Hotel,204,318
2023-10-08 05:12:09.995013,Cosmic Sound Festival,Group Discount,36-45,Female,Bike,Camping,220,115
2023-10-09 05:12:09.995013,Retro Rewind Concert,Group Discount,36-45,Female,Bike,Stay with Friends/Family,238,355
2023-10-10 05:12:09.995013,Cosmic Sound Festival,Group Discount,36-45,Non-binary,Public Transport,Airbnb,254,154
2023-10-11 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,46-55,Female,Car,Hotel,227,173
2023-10-12 05:12:09.995013,RockNRebel Music Fest,Group Discount,26-35,Non-binary,Public Transport,Hotel,190,85
2023-10-13 05:12:09.995013,RockNRebel Music Fest,Group Discount,26-35,Female,Walk,Camping,236,29
2023-10-14 05:12:09.995013,ElectroBeat Expo,General Admission,26-35,Female,Bike,Hotel,80,418
2023-10-15 05:12:09.995013,ElectroBeat Expo,VIP,36-45,Non-binary,Bike,Airbnb,72,175
2023-10-16 05:12:09.995013,Retro Rewind Concert,VIP,Over 55,Male,Bike,Stay with Friends/Family,279,413
2023-10-17 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,26-35,Prefer not to say,Rideshare,Hotel,220,290
2023-10-18 05:12:09.995013,ElectroBeat Expo,Backstage Pass,46-55,Non-binary,Bike,Hotel,213,44
2023-10-19 05:12:09.995013,Jazz & Jive Weekend,VIP,18-25,Non-binary,Car,Hostel,155,342
2023-10-20 05:12:09.995013,Retro Rewind Concert,Backstage Pass,36-45,Prefer not to say,Car,Camping,94,343
2023-10-21 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,18-25,Non-binary,Car,Hostel,137,169
2023-10-22 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,Over 55,Female,Rideshare,Airbnb,228,189
2023-10-23 05:12:09.995013,Cosmic Sound Festival,General Admission,36-45,Non-binary,Rideshare,Camping,90,236
2023-10-24 05:12:09.995013,Cosmic Sound Festival,General Admission,36-45,Non-binary,Walk,Airbnb,199,287
2023-10-25 05:12:09.995013,Cosmic Sound Festival,VIP,46-55,Prefer not to say,Bike,Stay with Friends/Family,92,36
2023-10-26 05:12:09.995013,Retro Rewind Concert,VIP,Under 18,Prefer not to say,Car,Stay with Friends/Family,190,64
2023-10-27 05:12:09.995013,ElectroBeat Expo,VIP,36-45,Male,Walk,Hostel,227,343
2023-10-28 05:12:09.995013,Cosmic Sound Festival,VIP,Under 18,Prefer not to say,Public Transport,Hostel,186,212
2023-10-29 05:12:09.995013,RockNRebel Music Fest,Group Discount,Under 18,Non-binary,Walk,Stay with Friends/Family,142,186
2023-10-30 05:12:09.995013,RockNRebel Music Fest,VIP,Under 18,Prefer not to say,Walk,Hotel,144,197
2023-10-31 05:12:09.995013,Cosmic Sound Festival,VIP,Under 18,Prefer not to say,Bike,Hotel,122,397
2023-11-01 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,18-25,Female,Public Transport,Hostel,118,183
2023-11-02 05:12:09.995013,RockNRebel Music Fest,Group Discount,Under 18,Male,Public Transport,Hostel,75,389
2023-11-03 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,18-25,Prefer not to say,Walk,Airbnb,172,354
2023-11-04 05:12:09.995013,RockNRebel Music Fest,Group Discount,26-35,Female,Car,Camping,119,341
2023-11-05 05:12:09.995013,Cosmic Sound Festival,General Admission,46-55,Non-binary,Car,Hotel,291,307
2023-11-06 05:12:09.995013,Cosmic Sound Festival,VIP,36-45,Female,Car,Hostel,175,267
2023-11-07 05:12:09.995013,Cosmic Sound Festival,Group Discount,26-35,Prefer not to say,Walk,Airbnb,66,155
2023-11-08 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,46-55,Prefer not to say,Rideshare,Hostel,95,480
2023-11-09 05:12:09.995013,Jazz & Jive Weekend,Group Discount,18-25,Male,Public Transport,Camping,115,205
2023-11-10 05:12:09.995013,Retro Rewind Concert,VIP,Under 18,Male,Bike,Hostel,226,373
2023-11-11 05:12:09.995013,Cosmic Sound Festival,General Admission,18-25,Non-binary,Rideshare,Stay with Friends/Family,100,271
2023-11-12 05:12:09.995013,Jazz & Jive Weekend,VIP,Over 55,Male,Public Transport,Hotel,57,35
2023-11-13 05:12:09.995013,Retro Rewind Concert,VIP,36-45,Male,Public Transport,Hostel,279,245
2023-11-14 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,18-25,Female,Rideshare,Hotel,104,463
2023-11-15 05:12:09.995013,Cosmic Sound Festival,General Admission,26-35,Female,Rideshare,Hotel,232,191
2023-11-16 05:12:09.995013,Cosmic Sound Festival,Group Discount,36-45,Prefer not to say,Bike,Airbnb,104,12
2023-11-17 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,26-35,Female,Public Transport,Airbnb,278,397
2023-11-18 05:12:09.995013,ElectroBeat Expo,VIP,18-25,Prefer not to say,Rideshare,Airbnb,273,21
2023-11-19 05:12:09.995013,Jazz & Jive Weekend,General Admission,36-45,Male,Rideshare,Stay with Friends/Family,220,467
2023-11-20 05:12:09.995013,ElectroBeat Expo,Backstage Pass,46-55,Non-binary,Walk,Stay with Friends/Family,70,371
2023-11-21 05:12:09.995013,Jazz & Jive Weekend,General Admission,Over 55,Prefer not to say,Rideshare,Airbnb,182,327
2023-11-22 05:12:09.995013,Jazz & Jive Weekend,Group Discount,Over 55,Prefer not to say,Bike,Airbnb,207,218
2023-11-23 05:12:09.995013,Retro Rewind Concert,VIP,46-55,Male,Bike,Airbnb,115,178
2023-11-24 05:12:09.995013,RockNRebel Music Fest,General Admission,36-45,Female,Car,Stay with Friends/Family,247,464
2023-11-25 05:12:09.995013,RockNRebel Music Fest,Group Discount,Under 18,Non-binary,Rideshare,Airbnb,157,348
2023-11-26 05:12:09.995013,ElectroBeat Expo,General Admission,Over 55,Prefer not to say,Public Transport,Camping,177,154
2023-11-27 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,Under 18,Female,Bike,Stay with Friends/Family,135,170
2023-11-28 05:12:09.995013,Retro Rewind Concert,Group Discount,26-35,Non-binary,Car,Hotel,65,318
2023-11-29 05:12:09.995013,Retro Rewind Concert,General Admission,Under 18,Female,Rideshare,Hostel,89,355
2023-11-30 05:12:09.995013,Jazz & Jive Weekend,Group Discount,26-35,Female,Car,Hostel,157,458
2023-12-01 05:12:09.995013,Jazz & Jive Weekend,Group Discount,Under 18,Male,Car,Hostel,127,437
2023-12-02 05:12:09.995013,Jazz & Jive Weekend,VIP,36-45,Male,Car,Hostel,230,173
2023-12-03 05:12:09.995013,Jazz & Jive Weekend,VIP,46-55,Non-binary,Public Transport,Hostel,109,228
2023-12-04 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,26-35,Non-binary,Car,Camping,124,335
2023-12-05 05:12:09.995013,Retro Rewind Concert,General Admission,Over 55,Prefer not to say,Car,Hotel,295,97
2023-12-06 05:12:09.995013,RockNRebel Music Fest,Group Discount,Under 18,Non-binary,Rideshare,Camping,243,492
2023-12-07 05:12:09.995013,Cosmic Sound Festival,Group Discount,46-55,Male,Bike,Hostel,198,215
2023-12-08 05:12:09.995013,ElectroBeat Expo,VIP,Over 55,Male,Car,Airbnb,282,147
2023-12-09 05:12:09.995013,Jazz & Jive Weekend,Group Discount,18-25,Female,Bike,Stay with Friends/Family,157,158
2023-12-10 05:12:09.995013,RockNRebel Music Fest,General Admission,46-55,Male,Walk,Airbnb,249,49
2023-12-11 05:12:09.995013,Jazz & Jive Weekend,VIP,Over 55,Prefer not to say,Rideshare,Hostel,72,442
2023-12-12 05:12:09.995013,Cosmic Sound Festival,VIP,Over 55,Male,Public Transport,Hotel,102,294
2023-12-13 05:12:09.995013,Retro Rewind Concert,VIP,18-25,Prefer not to say,Walk,Hostel,129,5
2023-12-14 05:12:09.995013,ElectroBeat Expo,Backstage Pass,18-25,Prefer not to say,Car,Camping,76,196
2023-12-15 05:12:09.995013,RockNRebel Music Fest,Group Discount,18-25,Male,Public Transport,Stay with Friends/Family,196,162
2023-12-16 05:12:09.995013,Jazz & Jive Weekend,VIP,46-55,Male,Car,Hotel,184,116
2023-12-17 05:12:09.995013,Retro Rewind Concert,Group Discount,Under 18,Female,Car,Airbnb,149,48
2023-12-18 05:12:09.995013,Jazz & Jive Weekend,General Admission,18-25,Male,Rideshare,Hotel,221,488
2023-12-19 05:12:09.995013,ElectroBeat Expo,Group Discount,36-45,Prefer not to say,Public Transport,Camping,158,161
2023-12-20 05:12:09.995013,Retro Rewind Concert,Backstage Pass,46-55,Non-binary,Car,Stay with Friends/Family,135,328
2023-12-21 05:12:09.995013,RockNRebel Music Fest,Group Discount,36-45,Prefer not to say,Bike,Stay with Friends/Family,147,462
2023-12-22 05:12:09.995013,Cosmic Sound Festival,Group Discount,26-35,Prefer not to say,Bike,Camping,178,186
2023-12-23 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,Over 55,Male,Rideshare,Hotel,99,167
2023-12-24 05:12:09.995013,Retro Rewind Concert,Backstage Pass,18-25,Male,Car,Hostel,252,142
2023-12-25 05:12:09.995013,ElectroBeat Expo,Backstage Pass,18-25,Prefer not to say,Bike,Stay with Friends/Family,211,188
2023-12-26 05:12:09.995013,Retro Rewind Concert,Backstage Pass,26-35,Female,Rideshare,Camping,190,18
2023-12-27 05:12:09.995013,Cosmic Sound Festival,Group Discount,46-55,Non-binary,Public Transport,Hotel,109,136
2023-12-28 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,18-25,Male,Rideshare,Airbnb,149,437
2023-12-29 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,46-55,Prefer not to say,Bike,Airbnb,190,194
2023-12-30 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,36-45,Female,Car,Camping,168,347
2023-12-31 05:12:09.995013,RockNRebel Music Fest,General Admission,46-55,Non-binary,Walk,Hotel,281,103
2024-01-01 05:12:09.995013,Retro Rewind Concert,VIP,18-25,Female,Public Transport,Stay with Friends/Family,155,380
2024-01-02 05:12:09.995013,RockNRebel Music Fest,General Admission,Over 55,Female,Public Transport,Stay with Friends/Family,148,417
2024-01-03 05:12:09.995013,RockNRebel Music Fest,General Admission,Over 55,Non-binary,Car,Airbnb,82,490
2024-01-04 05:12:09.995013,Jazz & Jive Weekend,Group Discount,36-45,Non-binary,Car,Stay with Friends/Family,79,320
2024-01-05 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,Over 55,Non-binary,Car,Airbnb,249,206
2024-01-06 05:12:09.995013,Jazz & Jive Weekend,VIP,18-25,Non-binary,Car,Airbnb,70,473
2024-01-07 05:12:09.995013,Jazz & Jive Weekend,Group Discount,26-35,Female,Public Transport,Camping,169,114
2024-01-08 05:12:09.995013,RockNRebel Music Fest,Backstage Pass,26-35,Female,Bike,Camping,279,132
2024-01-09 05:12:09.995013,Retro Rewind Concert,Group Discount,Over 55,Prefer not to say,Public Transport,Camping,220,471
2024-01-10 05:12:09.995013,Retro Rewind Concert,VIP,26-35,Female,Car,Camping,215,266
2024-01-11 05:12:09.995013,RockNRebel Music Fest,Group Discount,26-35,Non-binary,Car,Hostel,124,27
2024-01-12 05:12:09.995013,ElectroBeat Expo,General Admission,Over 55,Non-binary,Car,Camping,245,55
2024-01-13 05:12:09.995013,Jazz & Jive Weekend,General Admission,46-55,Non-binary,Rideshare,Stay with Friends/Family,101,339
2024-01-14 05:12:09.995013,Retro Rewind Concert,Group Discount,46-55,Male,Walk,Hotel,57,56
2024-01-15 05:12:09.995013,Cosmic Sound Festival,VIP,36-45,Non-binary,Walk,Camping,201,73
2024-01-16 05:12:09.995013,Retro Rewind Concert,Backstage Pass,Over 55,Female,Bike,Stay with Friends/Family,232,137
2024-01-17 05:12:09.995013,Jazz & Jive Weekend,Backstage Pass,36-45,Non-binary,Car,Stay with Friends/Family,159,98
2024-01-18 05:12:09.995013,Jazz & Jive Weekend,VIP,46-55,Male,Bike,Camping,160,448
2024-01-19 05:12:09.995013,Jazz & Jive Weekend,General Admission,36-45,Female,Walk,Airbnb,200,385
2024-01-20 05:12:09.995013,ElectroBeat Expo,General Admission,18-25,Male,Walk,Hotel,88,66
2024-01-21 05:12:09.995013,Jazz & Jive Weekend,VIP,26-35,Prefer not to say,Public Transport,Hotel,203,482
2024-01-22 05:12:09.995013,Cosmic Sound Festival,General Admission,26-35,Female,Car,Hotel,130,305
2024-01-23 05:12:09.995013,RockNRebel Music Fest,General Admission,18-25,Prefer not to say,Walk,Airbnb,174,466
2024-01-24 05:12:09.995013,ElectroBeat Expo,VIP,Under 18,Non-binary,Rideshare,Stay with Friends/Family,113,141
2024-01-25 05:12:09.995013,Jazz & Jive Weekend,Group Discount,36-45,Non-binary,Car,Camping,227,259
2024-01-26 05:12:09.995013,Jazz & Jive Weekend,VIP,18-25,Female,Bike,Airbnb,138,445
2024-01-27 05:12:09.995013,Cosmic Sound Festival,VIP,18-25,Male,Walk,Hostel,235,284
2024-01-28 05:12:09.995013,Retro Rewind Concert,VIP,46-55,Female,Rideshare,Camping,223,442
2024-01-29 05:12:09.995013,Cosmic Sound Festival,Group Discount,26-35,Female,Walk,Hostel,80,68
2024-01-30 05:12:09.995013,Cosmic Sound Festival,VIP,Under 18,Female,Public Transport,Stay with Friends/Family,63,241
2024-01-31 05:12:09.995013,Cosmic Sound Festival,Group Discount,Over 55,Female,Bike,Hostel,61,443
2024-02-01 05:12:09.995013,ElectroBeat Expo,General Admission,46-55,Female,Rideshare,Airbnb,162,374
2024-02-02 05:12:09.995013,Jazz & Jive Weekend,General Admission,Over 55,Prefer not to say,Car,Stay with Friends/Family,219,215
2024-02-03 05:12:09.995013,Cosmic Sound Festival,Backstage Pass,36-45,Male,Rideshare,Stay with Friends/Family,65,151
2024-02-04 05:12:09.995013,Jazz & Jive Weekend,General Admission,Over 55,Prefer not to say,Walk,Hostel,55,167
2024-02-05 05:12:09.995013,Retro Rewind Concert,Group Discount,26-35,Prefer not to say,Car,Airbnb,191,443
