Artist Name,Genre,Stage Location,Expected Audience Size,Actual Audience Size,Audience Engagement Score,Performance Duration,Setup Time,Tear Down Time,DateTime
Cluster Funk,Jazz,Main Stage,6090,4257,5,106,30,56,01/16/2023 04:21:22 PM
Infinite Loop,Hip Hop,Main Stage,2367,5488,9,54,54,26,01/17/2023 08:42:24 PM
The Algorithmics,Jazz,Main Stage,3489,2178,8,59,35,57,01/18/2023 07:07:55 AM
Infinite Loop,Rock,VIP Lounge,5157,1027,7,47,45,56,01/20/2023 03:31:00 AM
Segmentation Fault,Jazz,Main Stage,9019,2141,2,68,23,19,01/21/2023 05:50:27 AM
The Query Strings,Electronic,Indie Arena,3135,4576,8,80,48,53,01/21/2023 11:25:10 AM
Infinite Loop,Hip Hop,VIP Lounge,795,2548,7,106,30,28,01/22/2023 11:14:20 AM
Random Forest,Jazz,DJ Tent,6802,2023,9,64,23,25,01/23/2023 10:04:32 PM
Cache Miss,Indie,Indie Arena,4476,813,8,83,45,16,01/24/2023 11:34:29 AM
The Query Strings,Electronic,Main Stage,5394,2636,9,74,47,26,01/26/2023 04:43:50 AM
Byte Beat,Hip Hop,Main Stage,7338,7944,1,62,47,36,01/26/2023 03:15:55 PM
Neural Nets,Hip Hop,Indie Arena,3596,3028,4,116,42,43,01/27/2023 10:50:26 AM
The Query Strings,Indie,Indie Arena,354,2561,7,35,56,41,01/29/2023 05:46:14 AM
Segmentation Fault,Indie,Main Stage,715,7004,5,81,18,55,01/29/2023 11:13:47 AM
The Algorithmics,Jazz,VIP Lounge,9364,903,7,75,32,46,01/30/2023 05:40:23 PM
Syntax Error,Rock,VIP Lounge,1166,5264,2,100,32,40,02/01/2023 06:25:50 AM
Bit Rate,Electronic,Main Stage,8038,9511,3,51,53,39,02/01/2023 01:19:57 PM
Byte Beat,Jazz,Main Stage,5852,6694,7,112,56,47,02/02/2023 11:18:12 AM
Byte Beat,Rock,DJ Tent,6986,7280,4,63,26,52,02/03/2023 10:26:10 PM
Infinite Loop,Electronic,DJ Tent,1071,4332,3,115,35,31,02/05/2023 04:24:19 AM
Hello World,Rock,VIP Lounge,8732,7762,3,48,31,40,02/06/2023 03:51:10 AM
Cluster Funk,Jazz,Indie Arena,9616,139,1,90,24,59,02/06/2023 07:05:13 AM
The Query Strings,Indie,DJ Tent,1573,3406,6,95,25,49,02/07/2023 06:51:56 PM
Infinite Loop,Jazz,Main Stage,8006,7539,4,54,55,44,02/09/2023 05:31:43 AM
Byte Beat,Electronic,VIP Lounge,2916,2438,1,80,35,50,02/09/2023 10:33:20 PM
Parallel Processors,Electronic,VIP Lounge,7595,1911,3,35,37,24,02/10/2023 11:40:39 AM
Cache Miss,Indie,DJ Tent,7723,7122,6,30,55,42,02/11/2023 10:03:36 PM
Epsilon Greedy,Jazz,Indie Arena,6199,7214,1,117,50,42,02/13/2023 01:32:41 AM
Segmentation Fault,Electronic,Main Stage,6745,9246,1,37,25,25,02/14/2023 02:09:13 AM
Epsilon Greedy,Rock,Main Stage,5141,8959,6,48,55,41,02/14/2023 10:05:32 PM
Cache Miss,Jazz,Indie Arena,5593,9146,1,104,24,21,02/16/2023 03:24:33 AM
Infinite Loop,Jazz,VIP Lounge,2517,8670,8,103,49,47,02/17/2023 04:20:13 AM
Random Forest,Rock,DJ Tent,6462,7937,4,31,41,59,02/18/2023 04:25:54 AM
Syntax Error,Rock,Indie Arena,8902,887,2,90,25,45,02/19/2023 03:04:18 AM
Hello World,Electronic,VIP Lounge,119,4480,6,115,19,15,02/19/2023 02:40:08 PM
Syntax Error,Indie,DJ Tent,6247,2286,9,68,15,54,02/21/2023 01:58:38 AM
Hello World,Jazz,VIP Lounge,3528,3751,2,107,34,41,02/21/2023 11:15:25 PM
Byte Beat,Electronic,DJ Tent,3106,4079,2,115,48,41,02/22/2023 11:55:58 AM
Neural Nets,Jazz,DJ Tent,1640,466,4,69,55,48,02/24/2023 05:51:28 AM
Neural Nets,Hip Hop,DJ Tent,5430,6008,9,69,58,25,02/24/2023 06:25:20 PM
Cluster Funk,Indie,VIP Lounge,4118,1025,4,65,17,24,02/26/2023 01:33:33 AM
Infinite Loop,Jazz,VIP Lounge,2064,4931,4,112,51,32,02/26/2023 05:37:22 PM
Infinite Loop,Jazz,Main Stage,522,6944,7,42,35,52,02/28/2023 03:18:23 AM
Parallel Processors,Electronic,VIP Lounge,6960,3035,4,102,38,22,02/28/2023 01:30:43 PM
Recursive Rhythms,Hip Hop,Indie Arena,1496,592,6,84,35,43,03/02/2023 04:59:36 AM
Parallel Processors,Indie,VIP Lounge,6993,7548,6,114,19,53,03/02/2023 11:10:50 AM
Parallel Processors,Indie,DJ Tent,4259,6205,2,43,15,54,03/03/2023 01:10:11 PM
Hello World,Indie,Indie Arena,1208,7839,5,104,45,28,03/04/2023 08:44:38 PM
Syntax Error,Jazz,Main Stage,7670,823,6,62,17,31,03/05/2023 08:55:32 PM
Neural Nets,Hip Hop,DJ Tent,3702,8169,1,61,52,33,03/07/2023 02:28:14 AM
Cache Miss,Indie,VIP Lounge,3026,4165,5,73,37,26,03/07/2023 07:42:57 PM
Random Forest,Indie,DJ Tent,4076,5716,1,89,28,32,03/09/2023 06:49:40 AM
The Query Strings,Electronic,VIP Lounge,3073,1751,7,40,19,41,03/09/2023 03:04:29 PM
Neural Nets,Jazz,Indie Arena,5229,2932,2,33,58,33,03/10/2023 11:44:26 AM
Syntax Error,Hip Hop,DJ Tent,6062,3997,9,65,38,50,03/11/2023 02:18:29 PM
Random Forest,Jazz,DJ Tent,2325,2273,4,36,30,36,03/13/2023 12:49:17 AM
Neural Nets,Hip Hop,VIP Lounge,962,8563,9,96,21,27,03/13/2023 10:38:53 AM
Cluster Funk,Hip Hop,Main Stage,505,2301,1,75,52,22,03/15/2023 04:31:38 AM
Parallel Processors,Rock,DJ Tent,6185,1043,1,117,35,44,03/16/2023 01:45:06 AM
Syntax Error,Hip Hop,Main Stage,2778,6450,6,99,43,36,03/16/2023 11:38:16 PM
Cluster Funk,Hip Hop,Indie Arena,8880,4552,8,49,43,44,03/17/2023 07:02:47 PM
Cache Miss,Indie,Indie Arena,6133,5538,3,38,25,16,03/18/2023 10:23:15 PM
Infinite Loop,Electronic,VIP Lounge,5596,4607,5,71,15,38,03/19/2023 12:03:03 PM
Recursive Rhythms,Jazz,Main Stage,7465,674,5,76,58,49,03/21/2023 03:41:22 AM
The Data Wranglers,Indie,Indie Arena,8611,5899,6,112,59,57,03/22/2023 02:10:26 AM
Recursive Rhythms,Hip Hop,Indie Arena,4672,998,9,112,26,55,03/23/2023 02:18:07 AM
Byte Beat,Jazz,Indie Arena,4433,6636,9,82,22,29,03/23/2023 12:39:29 PM
Syntax Error,Hip Hop,VIP Lounge,779,4713,3,88,46,18,03/24/2023 08:08:31 AM
Epsilon Greedy,Jazz,DJ Tent,9112,8338,2,70,31,36,03/25/2023 06:27:46 PM
Cluster Funk,Indie,DJ Tent,3592,4120,9,43,27,56,03/27/2023 05:14:43 AM
The Query Strings,Jazz,VIP Lounge,475,6863,7,103,31,33,03/27/2023 07:31:11 AM
Recursive Rhythms,Indie,Main Stage,7437,7626,1,70,17,26,03/28/2023 11:12:43 AM
The Query Strings,Rock,Main Stage,8343,6086,7,112,38,35,03/29/2023 09:12:39 PM
Segmentation Fault,Rock,DJ Tent,129,401,9,54,53,38,03/31/2023 06:02:41 AM
The Query Strings,Rock,VIP Lounge,6717,1103,6,65,44,39,03/31/2023 03:41:35 PM
The Algorithmics,Electronic,VIP Lounge,1366,9494,9,33,50,21,04/01/2023 01:16:09 PM
Segmentation Fault,Rock,Main Stage,2329,2317,1,44,34,15,04/02/2023 06:08:55 PM
Hello World,Hip Hop,VIP Lounge,7848,1108,1,79,42,34,04/03/2023 10:05:51 PM
The Data Wranglers,Hip Hop,Indie Arena,2216,3276,7,88,20,31,04/05/2023 05:21:53 AM
Neural Nets,Indie,DJ Tent,949,6475,2,48,44,59,04/05/2023 03:44:50 PM
The Query Strings,Jazz,DJ Tent,6142,9069,5,94,16,20,04/06/2023 04:39:53 PM
Cluster Funk,Electronic,DJ Tent,7669,2852,1,116,42,48,04/08/2023 12:41:14 AM
The Query Strings,Indie,DJ Tent,2417,6890,8,107,50,36,04/09/2023 01:17:52 AM
Cache Miss,Rock,DJ Tent,9192,4672,8,79,32,39,04/09/2023 06:05:01 PM
Neural Nets,Jazz,Indie Arena,1806,3437,4,59,31,55,04/10/2023 11:44:35 PM
The Query Strings,Jazz,VIP Lounge,6496,7150,1,99,26,15,04/11/2023 07:24:03 AM
Parallel Processors,Rock,Indie Arena,3750,8718,4,57,41,52,04/12/2023 04:23:11 PM
Cluster Funk,Indie,Indie Arena,744,6720,6,30,28,42,04/13/2023 08:32:50 PM
The Query Strings,Indie,Indie Arena,8189,8503,7,94,47,20,04/14/2023 10:00:24 AM
Parallel Processors,Electronic,VIP Lounge,4751,7839,7,114,47,53,04/15/2023 05:18:47 PM
The Data Wranglers,Jazz,Indie Arena,2156,4178,3,69,34,58,04/17/2023 06:55:11 AM
Syntax Error,Electronic,VIP Lounge,9678,3335,8,74,35,17,04/17/2023 11:16:28 PM
Bit Rate,Hip Hop,DJ Tent,9471,2122,2,48,55,37,04/18/2023 08:38:57 AM
Neural Nets,Indie,DJ Tent,7743,3405,4,89,44,24,04/19/2023 01:46:42 PM
Segmentation Fault,Indie,DJ Tent,3125,2249,4,115,26,38,04/20/2023 10:47:51 AM
Recursive Rhythms,Rock,DJ Tent,8541,4935,7,81,56,49,04/21/2023 02:47:17 PM
Neural Nets,Hip Hop,Indie Arena,7693,7939,4,106,39,31,04/23/2023 01:35:15 AM
Segmentation Fault,Indie,DJ Tent,8062,3125,5,72,59,47,04/23/2023 02:15:45 PM
The Data Wranglers,Hip Hop,Indie Arena,212,1484,4,44,58,24,04/24/2023 09:51:22 AM
The Data Wranglers,Rock,Indie Arena,660,6548,4,105,57,51,04/25/2023 02:34:24 PM
Cache Miss,Electronic,Indie Arena,8063,8455,8,32,23,56,04/26/2023 06:31:18 PM
The Query Strings,Electronic,VIP Lounge,6642,8959,2,103,23,21,04/27/2023 02:38:59 PM
Recursive Rhythms,Rock,VIP Lounge,7973,4181,1,85,18,47,04/29/2023 06:17:22 AM
The Query Strings,Hip Hop,Indie Arena,5745,6394,4,113,16,43,04/29/2023 09:21:04 AM
The Query Strings,Rock,DJ Tent,5429,3030,2,66,25,47,04/30/2023 09:34:18 PM
The Data Wranglers,Indie,VIP Lounge,5431,3861,4,86,31,43,05/01/2023 04:13:37 PM
Cache Miss,Indie,DJ Tent,9105,5762,2,30,18,49,05/02/2023 09:07:29 PM
The Data Wranglers,Electronic,DJ Tent,2472,3358,8,36,32,54,05/04/2023 01:36:13 AM
Parallel Processors,Electronic,DJ Tent,8981,4360,5,93,38,43,05/04/2023 06:29:06 PM
Infinite Loop,Jazz,Indie Arena,6691,7777,5,76,15,35,05/05/2023 03:59:27 PM
Byte Beat,Hip Hop,Indie Arena,389,5437,8,61,37,56,05/07/2023 04:24:10 AM
Epsilon Greedy,Jazz,VIP Lounge,6458,4648,6,103,36,46,05/07/2023 10:46:56 PM
Epsilon Greedy,Jazz,DJ Tent,5733,4914,8,62,55,49,05/09/2023 06:56:32 AM
The Query Strings,Jazz,Indie Arena,1934,584,8,109,52,21,05/10/2023 01:37:58 AM
Bit Rate,Indie,DJ Tent,3895,7246,4,95,23,58,05/11/2023 06:59:38 AM
Recursive Rhythms,Hip Hop,VIP Lounge,6383,1717,5,57,55,41,05/11/2023 04:17:19 PM
Parallel Processors,Jazz,DJ Tent,7561,756,3,42,42,50,05/12/2023 08:02:39 AM
The Algorithmics,Jazz,DJ Tent,3047,715,1,42,15,30,05/14/2023 02:27:22 AM
Epsilon Greedy,Electronic,VIP Lounge,7448,626,2,103,29,35,05/14/2023 03:53:26 PM
Random Forest,Rock,VIP Lounge,9416,866,6,85,35,50,05/15/2023 04:02:47 PM
Neural Nets,Indie,DJ Tent,3393,8213,6,53,27,18,05/16/2023 08:26:12 AM
Random Forest,Electronic,Main Stage,6911,296,3,102,41,30,05/17/2023 03:27:14 PM
Epsilon Greedy,Jazz,Main Stage,7247,437,9,95,27,47,05/18/2023 05:14:42 PM
Recursive Rhythms,Jazz,VIP Lounge,8274,8058,3,38,37,24,05/19/2023 06:42:34 PM
Random Forest,Electronic,Main Stage,879,3361,6,70,35,53,05/21/2023 06:30:04 AM
Recursive Rhythms,Rock,Indie Arena,1518,1757,8,35,25,25,05/21/2023 08:56:53 AM
Byte Beat,Electronic,VIP Lounge,2229,5223,2,111,37,58,05/22/2023 05:55:11 PM
The Query Strings,Electronic,Main Stage,7950,7000,6,70,33,27,05/24/2023 12:47:59 AM
Cluster Funk,Jazz,VIP Lounge,8683,2580,4,118,52,44,05/24/2023 08:09:38 AM
Neural Nets,Indie,Main Stage,8169,5955,4,111,46,17,05/25/2023 05:54:53 PM
Byte Beat,Rock,DJ Tent,1504,5199,7,59,38,43,05/27/2023 01:39:11 AM
The Algorithmics,Electronic,Indie Arena,892,8719,2,63,21,38,05/27/2023 01:30:06 PM
Hello World,Hip Hop,Main Stage,204,6162,7,104,21,42,05/28/2023 09:41:39 PM
Bit Rate,Rock,DJ Tent,7417,8213,9,82,18,46,05/30/2023 04:06:40 AM
Infinite Loop,Rock,DJ Tent,4265,6206,8,115,42,18,05/31/2023 12:50:59 AM
The Data Wranglers,Jazz,Main Stage,3758,4164,4,106,39,40,06/01/2023 04:52:38 AM
Neural Nets,Rock,DJ Tent,6718,8965,4,30,22,33,06/01/2023 11:23:38 AM
Hello World,Indie,Indie Arena,6843,7843,6,43,45,51,06/03/2023 12:20:06 AM
The Algorithmics,Hip Hop,DJ Tent,8814,666,1,96,18,35,06/04/2023 02:29:16 AM
Bit Rate,Rock,DJ Tent,5774,9231,2,61,57,41,06/04/2023 08:29:30 AM
The Algorithmics,Indie,VIP Lounge,8857,7695,8,113,27,50,06/05/2023 02:05:39 PM
The Data Wranglers,Indie,Main Stage,2195,5740,6,87,40,53,06/06/2023 07:59:31 AM
Parallel Processors,Indie,VIP Lounge,6897,8162,3,51,19,25,06/07/2023 12:30:41 PM
Random Forest,Jazz,DJ Tent,9261,9730,4,46,25,33,06/09/2023 04:50:17 AM
Infinite Loop,Jazz,VIP Lounge,3438,2063,8,46,22,33,06/09/2023 08:18:50 PM
Segmentation Fault,Electronic,Main Stage,6483,3359,9,55,19,35,06/10/2023 10:49:35 PM
Cluster Funk,Jazz,DJ Tent,1421,7825,4,110,39,59,06/11/2023 05:58:23 PM
Bit Rate,Hip Hop,DJ Tent,4539,7712,2,98,52,50,06/12/2023 12:21:20 PM
Byte Beat,Rock,Indie Arena,7217,3733,6,106,53,24,06/13/2023 02:36:55 PM
The Query Strings,Indie,DJ Tent,9790,9720,7,100,50,41,06/15/2023 03:38:33 AM
Cache Miss,Jazz,VIP Lounge,8477,2213,8,109,27,22,06/16/2023 01:46:33 AM
Parallel Processors,Hip Hop,DJ Tent,5619,7506,3,112,48,53,06/17/2023 05:23:23 AM
Syntax Error,Indie,VIP Lounge,6409,3301,7,110,47,59,06/18/2023 04:50:31 AM
The Data Wranglers,Indie,Indie Arena,5057,6631,3,44,45,49,06/18/2023 11:39:30 PM
Neural Nets,Hip Hop,Main Stage,7617,7514,4,70,33,49,06/20/2023 04:09:38 AM
Recursive Rhythms,Rock,DJ Tent,586,3552,3,111,24,29,06/21/2023 12:39:37 AM
The Data Wranglers,Hip Hop,Indie Arena,9771,4614,6,99,17,33,06/21/2023 02:22:04 PM
Hello World,Hip Hop,Main Stage,3691,972,4,115,47,51,06/23/2023 04:35:48 AM
The Data Wranglers,Indie,Main Stage,6739,9459,1,32,58,43,06/23/2023 11:00:41 PM
Parallel Processors,Indie,Indie Arena,5123,7953,8,66,48,27,06/25/2023 02:01:17 AM
Parallel Processors,Indie,Indie Arena,7623,4418,6,84,30,54,06/25/2023 11:01:13 AM
Cluster Funk,Indie,DJ Tent,9682,7419,2,56,38,33,06/26/2023 10:45:54 AM
Segmentation Fault,Electronic,DJ Tent,8174,1379,8,42,49,35,06/28/2023 04:33:03 AM
Hello World,Electronic,Indie Arena,9175,301,2,88,42,39,06/29/2023 12:11:34 AM
Infinite Loop,Hip Hop,Main Stage,8638,9695,4,43,44,30,06/29/2023 08:52:35 PM
Segmentation Fault,Indie,Main Stage,226,9304,9,106,30,36,06/30/2023 11:48:32 AM
The Query Strings,Indie,VIP Lounge,5413,8238,4,79,15,24,07/01/2023 08:31:11 PM
Epsilon Greedy,Electronic,VIP Lounge,6059,8654,9,33,16,19,07/03/2023 05:53:50 AM
Infinite Loop,Electronic,Indie Arena,6040,9481,3,79,48,48,07/04/2023 04:48:53 AM
Random Forest,Indie,Indie Arena,145,3061,7,75,23,50,07/04/2023 01:59:42 PM
Segmentation Fault,Rock,VIP Lounge,1476,2646,1,30,32,55,07/05/2023 04:10:49 PM
Infinite Loop,Rock,VIP Lounge,7628,1006,8,49,56,47,07/06/2023 08:26:52 PM
Cluster Funk,Hip Hop,VIP Lounge,3753,5093,3,114,57,29,07/08/2023 12:40:29 AM
Parallel Processors,Jazz,Indie Arena,3394,823,5,34,54,28,07/08/2023 03:43:02 PM
Neural Nets,Hip Hop,Main Stage,3839,5651,6,75,20,34,07/09/2023 08:39:24 AM
Segmentation Fault,Jazz,DJ Tent,4567,6266,9,30,54,36,07/11/2023 12:27:22 AM
Neural Nets,Jazz,Indie Arena,9334,2035,6,53,18,40,07/11/2023 12:55:48 PM
Parallel Processors,Rock,VIP Lounge,7176,3457,1,31,47,18,07/12/2023 01:10:59 PM
Parallel Processors,Electronic,Indie Arena,4976,6380,4,109,34,23,07/13/2023 07:45:13 PM
Segmentation Fault,Rock,VIP Lounge,4957,6089,8,110,48,30,07/14/2023 08:10:20 PM
The Query Strings,Rock,Indie Arena,4583,3134,2,103,38,43,07/16/2023 01:43:36 AM
Segmentation Fault,Hip Hop,Indie Arena,7234,6767,9,31,46,50,07/16/2023 02:16:26 PM
Epsilon Greedy,Indie,Indie Arena,3943,4420,4,54,52,33,07/18/2023 01:30:10 AM
Epsilon Greedy,Electronic,DJ Tent,5302,557,2,65,45,33,07/19/2023 06:30:03 AM
Recursive Rhythms,Indie,DJ Tent,1841,9448,1,83,30,38,07/19/2023 09:42:26 PM
Epsilon Greedy,Rock,VIP Lounge,1138,1355,5,110,32,59,07/20/2023 10:58:46 AM
The Algorithmics,Rock,Main Stage,1064,3089,3,64,43,35,07/22/2023 03:57:33 AM
The Algorithmics,Hip Hop,Indie Arena,988,775,7,102,56,21,07/22/2023 12:58:42 PM
Segmentation Fault,Indie,DJ Tent,6198,9664,6,35,35,26,07/23/2023 05:24:56 PM
Byte Beat,Jazz,Main Stage,3966,2887,9,66,21,21,07/24/2023 12:10:31 PM
Cache Miss,Hip Hop,VIP Lounge,6538,8954,9,65,57,21,07/26/2023 04:26:36 AM
The Algorithmics,Jazz,DJ Tent,3546,8288,7,57,50,56,07/27/2023 02:20:48 AM
The Query Strings,Electronic,Indie Arena,1634,7545,3,91,31,40,07/27/2023 11:36:51 AM
Hello World,Hip Hop,Indie Arena,6082,1224,2,73,44,20,07/29/2023 03:59:56 AM
Bit Rate,Jazz,DJ Tent,4295,712,9,111,38,44,07/29/2023 09:37:48 AM
The Data Wranglers,Rock,Indie Arena,5338,5636,7,61,26,19,07/30/2023 08:31:48 PM
Cluster Funk,Rock,DJ Tent,3830,2180,6,94,36,24,08/01/2023 06:13:35 AM
Recursive Rhythms,Hip Hop,DJ Tent,7349,8461,6,93,22,47,08/01/2023 11:49:43 PM
Hello World,Electronic,Indie Arena,968,9067,9,73,26,56,08/02/2023 11:06:27 PM
Parallel Processors,Electronic,VIP Lounge,5771,8767,2,107,16,47,08/03/2023 06:20:23 PM
Recursive Rhythms,Jazz,VIP Lounge,4846,7349,3,77,20,57,08/04/2023 07:22:20 PM
Infinite Loop,Electronic,Indie Arena,670,286,9,32,49,37,08/06/2023 06:56:01 AM
Syntax Error,Indie,Indie Arena,7304,9057,3,93,20,52,08/06/2023 03:41:18 PM
The Query Strings,Jazz,VIP Lounge,6558,8152,6,77,56,45,08/07/2023 07:38:20 PM
Random Forest,Indie,Main Stage,9125,9601,3,68,57,40,08/08/2023 03:51:44 PM
Neural Nets,Rock,DJ Tent,8188,689,6,46,21,18,08/09/2023 09:28:40 AM
The Algorithmics,Electronic,DJ Tent,1466,5051,6,63,55,38,08/10/2023 09:43:59 AM
Neural Nets,Hip Hop,DJ Tent,8434,2238,7,55,25,24,08/12/2023 05:33:01 AM
Epsilon Greedy,Rock,Main Stage,1424,3251,5,99,57,39,08/13/2023 01:32:51 AM
Recursive Rhythms,Electronic,VIP Lounge,4010,140,5,32,27,37,08/13/2023 08:44:37 AM
Parallel Processors,Rock,VIP Lounge,9907,3957,9,103,47,50,08/15/2023 02:02:07 AM
Epsilon Greedy,Hip Hop,Indie Arena,2177,8128,1,89,52,53,08/15/2023 02:34:40 PM
Syntax Error,Electronic,Indie Arena,623,423,4,93,34,46,08/16/2023 07:46:13 PM
The Query Strings,Indie,Main Stage,7195,6388,7,113,32,22,08/17/2023 08:50:18 AM
The Data Wranglers,Rock,DJ Tent,6522,2900,5,81,54,27,08/18/2023 11:29:28 AM
Cache Miss,Electronic,DJ Tent,7022,7495,2,106,33,32,08/19/2023 08:34:11 PM
Hello World,Indie,Indie Arena,4309,6254,7,56,52,23,08/21/2023 05:24:12 AM
Epsilon Greedy,Indie,Indie Arena,2437,535,4,33,50,47,08/22/2023 05:42:57 AM
Hello World,Indie,Main Stage,1635,8629,3,66,15,29,08/22/2023 07:59:52 AM
Hello World,Rock,VIP Lounge,1692,4860,5,33,21,46,08/24/2023 05:00:59 AM
Recursive Rhythms,Rock,VIP Lounge,4228,8601,9,31,49,53,08/25/2023 12:39:45 AM
Syntax Error,Hip Hop,DJ Tent,3248,7925,7,57,44,35,08/25/2023 08:44:52 AM
The Data Wranglers,Indie,VIP Lounge,642,1321,3,72,53,47,08/27/2023 05:57:06 AM
The Data Wranglers,Hip Hop,Indie Arena,3124,5854,2,104,15,38,08/27/2023 02:12:42 PM
The Query Strings,Hip Hop,Indie Arena,408,2492,5,99,16,40,08/28/2023 08:12:18 AM
Random Forest,Jazz,DJ Tent,8206,3468,3,91,24,21,08/29/2023 04:20:01 PM
Parallel Processors,Indie,VIP Lounge,217,4759,1,52,19,23,08/31/2023 01:17:34 AM
Neural Nets,Indie,Indie Arena,4684,7664,1,56,39,27,09/01/2023 02:34:34 AM
The Query Strings,Jazz,Indie Arena,3358,7023,2,71,21,38,09/02/2023 02:31:43 AM
Bit Rate,Hip Hop,Main Stage,4431,8909,5,57,25,54,09/02/2023 10:13:44 AM
The Query Strings,Rock,VIP Lounge,8148,1515,5,118,20,24,09/03/2023 01:53:32 PM
Infinite Loop,Rock,Indie Arena,5311,5653,5,108,15,59,09/04/2023 01:59:23 PM
Parallel Processors,Rock,DJ Tent,8741,6460,4,42,20,44,09/06/2023 03:10:41 AM
Recursive Rhythms,Rock,VIP Lounge,2292,6253,8,54,40,42,09/06/2023 11:43:50 AM
Cluster Funk,Jazz,DJ Tent,9169,1421,4,39,40,35,09/08/2023 06:42:10 AM
Byte Beat,Jazz,DJ Tent,582,4143,6,109,42,22,09/09/2023 04:53:30 AM
The Data Wranglers,Indie,Indie Arena,7674,6187,6,53,57,58,09/10/2023 02:50:54 AM
Cache Miss,Rock,VIP Lounge,2356,4633,3,61,19,34,09/10/2023 12:41:02 PM
Infinite Loop,Jazz,Indie Arena,829,986,1,65,18,56,09/12/2023 06:46:48 AM
Recursive Rhythms,Rock,DJ Tent,4430,235,2,98,49,55,09/13/2023 02:36:55 AM
The Data Wranglers,Jazz,Indie Arena,1382,3011,8,87,24,21,09/13/2023 11:53:53 PM
Byte Beat,Electronic,Main Stage,5261,1097,9,92,22,15,09/15/2023 02:36:37 AM
Syntax Error,Rock,DJ Tent,1639,7210,8,90,58,43,09/15/2023 08:29:55 PM
Syntax Error,Rock,VIP Lounge,4966,7251,6,71,39,49,09/16/2023 03:31:11 PM
The Data Wranglers,Rock,Indie Arena,1230,3944,9,118,46,57,09/18/2023 01:19:30 AM
Syntax Error,Indie,Indie Arena,2820,1052,7,33,34,23,09/18/2023 07:32:40 PM
Cluster Funk,Indie,DJ Tent,7694,2613,4,53,26,59,09/19/2023 05:33:08 PM
Recursive Rhythms,Rock,Indie Arena,6154,7903,5,50,59,20,09/20/2023 12:19:04 PM
Byte Beat,Electronic,DJ Tent,5592,6278,8,61,16,32,09/21/2023 07:50:27 AM
Epsilon Greedy,Hip Hop,DJ Tent,4504,5483,4,76,31,37,09/22/2023 12:37:32 PM
Cluster Funk,Hip Hop,Indie Arena,3331,4670,2,98,47,38,09/24/2023 01:55:42 AM
Random Forest,Electronic,DJ Tent,451,8015,9,71,41,55,09/24/2023 06:04:44 PM
Bit Rate,Electronic,VIP Lounge,6387,3522,1,40,31,46,09/25/2023 06:26:20 PM
Cluster Funk,Indie,Main Stage,8450,5934,7,101,26,49,09/26/2023 11:09:01 PM
Parallel Processors,Rock,Indie Arena,9727,2166,5,89,15,43,09/27/2023 07:15:25 AM
Parallel Processors,Electronic,Main Stage,3618,2932,6,84,51,40,09/28/2023 12:19:55 PM
Infinite Loop,Hip Hop,Main Stage,5473,6257,8,44,21,30,09/30/2023 01:19:01 AM
Infinite Loop,Electronic,VIP Lounge,4070,1391,1,78,54,43,09/30/2023 09:20:22 AM
Byte Beat,Rock,VIP Lounge,9752,8018,4,103,26,58,10/01/2023 03:06:07 PM
Segmentation Fault,Rock,Main Stage,603,9011,1,39,19,49,10/03/2023 04:28:38 AM
Cache Miss,Jazz,DJ Tent,8954,3666,3,44,22,45,10/03/2023 11:07:15 AM
Cache Miss,Jazz,VIP Lounge,5692,883,4,45,16,48,10/05/2023 06:44:36 AM
Cluster Funk,Electronic,DJ Tent,3488,8748,1,35,44,18,10/05/2023 10:27:25 AM
The Algorithmics,Rock,Indie Arena,2428,7346,1,67,22,31,10/06/2023 09:40:35 PM
Syntax Error,Electronic,Main Stage,6588,8223,1,94,29,56,10/07/2023 10:14:28 AM
Infinite Loop,Hip Hop,VIP Lounge,9198,8892,5,116,15,18,10/09/2023 05:58:12 AM
Parallel Processors,Electronic,VIP Lounge,6153,5857,4,107,55,51,10/09/2023 07:42:57 AM
The Query Strings,Indie,Main Stage,7980,1214,7,117,56,59,10/10/2023 04:03:39 PM
Parallel Processors,Electronic,VIP Lounge,1940,215,2,109,25,42,10/11/2023 08:08:19 AM
Neural Nets,Indie,VIP Lounge,8058,1510,6,61,35,30,10/12/2023 11:56:40 PM
Cluster Funk,Indie,Indie Arena,8475,1461,5,79,27,45,10/14/2023 06:02:03 AM
Infinite Loop,Indie,Main Stage,8397,9138,4,39,19,18,10/14/2023 05:11:36 PM
Random Forest,Hip Hop,VIP Lounge,4085,452,8,89,16,44,10/15/2023 07:58:25 AM
Neural Nets,Electronic,DJ Tent,9313,5195,5,117,44,35,10/16/2023 05:34:05 PM
Recursive Rhythms,Jazz,Indie Arena,4653,190,7,103,52,57,10/17/2023 01:52:11 PM
The Query Strings,Hip Hop,Indie Arena,7682,2411,5,105,46,33,10/19/2023 02:30:02 AM
Infinite Loop,Indie,DJ Tent,8272,5216,6,105,23,41,10/19/2023 06:47:52 PM
The Query Strings,Hip Hop,DJ Tent,2223,8053,7,59,43,29,10/21/2023 03:46:38 AM
Recursive Rhythms,Rock,Indie Arena,3899,3022,8,92,57,33,10/22/2023 03:55:46 AM
Hello World,Indie,Indie Arena,4165,7225,8,91,33,44,10/22/2023 02:35:41 PM
The Algorithmics,Indie,DJ Tent,4367,3735,6,81,51,29,10/23/2023 12:17:25 PM
