Date,Day Of Week,Type Of Event,Location,Waste Collected (KG),Recycling Collected (KG),Compost Collected (KG),Water Usage (L),Power Consumption (kWh),Refill Stations Uses
07/08/2023 05:43:02 PM,Tuesday,Indie Showcase,Chillout Zone,912,769,211,11170,5676,581
07/09/2023 05:43:02 PM,Saturday,Main Stage Performance,DJ Tent,1069,791,216,11160,5527,587
07/10/2023 05:43:02 PM,Monday,Outdoor Cinema,VIP Lounge,1259,776,205,10827,5633,602
07/11/2023 05:43:02 PM,Saturday,VIP Meet & Greet,Indie Arena,1205,725,237,10829,5359,528
07/12/2023 05:43:02 PM,Wednesday,DJ Set,DJ Tent,754,707,207,10305,5256,598
07/13/2023 05:43:02 PM,Sunday,Outdoor Cinema,VIP Lounge,811,809,265,10438,5190,603
07/14/2023 05:43:02 PM,Sunday,VIP Meet & Greet,Chillout Zone,1158,709,258,10873,5908,535
07/15/2023 05:43:02 PM,Sunday,Main Stage Performance,Main Stage,1222,785,245,9702,5985,556
07/16/2023 05:43:02 PM,Sunday,Main Stage Performance,Chillout Zone,1205,796,255,10548,5830,567
07/17/2023 05:43:02 PM,Sunday,Indie Showcase,Chillout Zone,707,817,223,9947,5610,532
07/18/2023 05:43:02 PM,Tuesday,DJ Set,Main Stage,1031,749,220,9970,5222,549
07/19/2023 05:43:02 PM,Tuesday,Indie Showcase,Chillout Zone,1210,817,202,11413,5282,590
07/20/2023 05:43:02 PM,Monday,Main Stage Performance,DJ Tent,789,727,261,11142,5547,548
07/21/2023 05:43:02 PM,Friday,Outdoor Cinema,DJ Tent,1044,768,210,10359,5074,553
07/22/2023 05:43:02 PM,Thursday,VIP Meet & Greet,Indie Arena,707,751,209,9870,5728,513
07/23/2023 05:43:02 PM,Thursday,Main Stage Performance,Main Stage,1241,711,224,11083,5093,523
07/24/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,VIP Lounge,1103,758,261,10169,5050,603
07/25/2023 05:43:02 PM,Friday,VIP Meet & Greet,DJ Tent,1013,773,263,10607,5557,633
07/26/2023 05:43:02 PM,Monday,Main Stage Performance,DJ Tent,1249,776,268,9663,5704,502
07/27/2023 05:43:02 PM,Tuesday,Indie Showcase,Main Stage,863,791,206,10921,5093,610
07/28/2023 05:43:02 PM,Tuesday,Main Stage Performance,Main Stage,886,706,257,10136,5368,589
07/29/2023 05:43:02 PM,Tuesday,Main Stage Performance,VIP Lounge,1233,818,258,9797,5143,572
07/30/2023 05:43:02 PM,Saturday,Indie Showcase,Chillout Zone,791,828,250,10618,5368,517
07/31/2023 05:43:02 PM,Saturday,Indie Showcase,Main Stage,795,793,222,10357,5061,553
08/01/2023 05:43:02 PM,Tuesday,Indie Showcase,Chillout Zone,995,788,229,11262,5447,580
08/02/2023 05:43:02 PM,Sunday,Indie Showcase,VIP Lounge,811,779,242,11261,5755,501
08/03/2023 05:43:02 PM,Thursday,VIP Meet & Greet,DJ Tent,1067,805,225,11053,5945,571
08/04/2023 05:43:02 PM,Friday,DJ Set,Chillout Zone,1040,775,240,11014,5033,616
08/05/2023 05:43:02 PM,Friday,VIP Meet & Greet,Main Stage,717,804,238,11383,5270,596
08/06/2023 05:43:02 PM,Monday,Main Stage Performance,Chillout Zone,1099,769,223,10410,5126,621
08/07/2023 05:43:02 PM,Sunday,DJ Set,VIP Lounge,774,824,219,10505,5550,552
08/08/2023 05:43:02 PM,Wednesday,Indie Showcase,Main Stage,1045,744,205,10825,5103,543
08/09/2023 05:43:02 PM,Monday,Indie Showcase,VIP Lounge,1046,721,226,10834,5127,536
08/10/2023 05:43:02 PM,Saturday,Indie Showcase,Indie Arena,1224,729,252,10318,6058,613
08/11/2023 05:43:02 PM,Sunday,VIP Meet & Greet,Indie Arena,887,832,232,10795,5289,538
08/12/2023 05:43:02 PM,Monday,VIP Meet & Greet,DJ Tent,1003,850,257,10069,5366,579
08/13/2023 05:43:02 PM,Monday,Main Stage Performance,Indie Arena,733,805,206,9828,5592,552
08/14/2023 05:43:02 PM,Monday,Main Stage Performance,VIP Lounge,1197,729,271,11265,5222,637
08/15/2023 05:43:02 PM,Saturday,Indie Showcase,Indie Arena,960,786,211,10608,5751,529
08/16/2023 05:43:02 PM,Tuesday,Main Stage Performance,Indie Arena,876,764,254,9738,5259,554
08/17/2023 05:43:02 PM,Thursday,Main Stage Performance,VIP Lounge,1176,833,244,9674,5241,623
08/18/2023 05:43:02 PM,Monday,DJ Set,Chillout Zone,805,777,261,9957,5247,582
08/19/2023 05:43:02 PM,Friday,Outdoor Cinema,Indie Arena,1064,738,264,10883,5374,601
08/20/2023 05:43:02 PM,Sunday,Outdoor Cinema,DJ Tent,714,759,202,11233,6042,557
08/21/2023 05:43:02 PM,Thursday,Indie Showcase,Chillout Zone,932,791,251,11325,5074,634
08/22/2023 05:43:02 PM,Thursday,Outdoor Cinema,VIP Lounge,1123,774,200,10214,5007,562
08/23/2023 05:43:02 PM,Thursday,Main Stage Performance,DJ Tent,766,735,219,10172,5642,530
08/24/2023 05:43:02 PM,Sunday,Outdoor Cinema,Indie Arena,860,768,211,10211,5887,629
08/25/2023 05:43:02 PM,Monday,Main Stage Performance,DJ Tent,998,834,252,10988,5815,560
08/26/2023 05:43:02 PM,Thursday,VIP Meet & Greet,Main Stage,785,851,205,9739,5320,593
08/27/2023 05:43:02 PM,Thursday,VIP Meet & Greet,VIP Lounge,980,751,212,10351,5845,627
08/28/2023 05:43:02 PM,Tuesday,Outdoor Cinema,DJ Tent,899,716,203,10518,5267,625
08/29/2023 05:43:02 PM,Sunday,Outdoor Cinema,DJ Tent,1191,786,248,10127,5659,614
08/30/2023 05:43:02 PM,Saturday,Indie Showcase,Main Stage,1199,787,231,11117,5002,630
08/31/2023 05:43:02 PM,Tuesday,DJ Set,Main Stage,1244,800,210,11358,5193,540
09/01/2023 05:43:02 PM,Tuesday,DJ Set,Chillout Zone,929,738,229,11336,5700,569
09/02/2023 05:43:02 PM,Friday,Main Stage Performance,Indie Arena,1065,751,213,10395,5062,536
09/03/2023 05:43:02 PM,Friday,VIP Meet & Greet,DJ Tent,772,822,226,11254,5615,570
09/04/2023 05:43:02 PM,Saturday,Outdoor Cinema,DJ Tent,1098,795,204,10492,5407,519
09/05/2023 05:43:02 PM,Saturday,Indie Showcase,Main Stage,794,801,268,10715,5479,596
09/06/2023 05:43:02 PM,Saturday,DJ Set,Indie Arena,765,788,219,11328,5397,571
09/07/2023 05:43:02 PM,Friday,Indie Showcase,Chillout Zone,1162,847,206,9723,5144,568
09/08/2023 05:43:02 PM,Friday,DJ Set,VIP Lounge,853,797,218,9932,5296,583
09/09/2023 05:43:02 PM,Saturday,Outdoor Cinema,Indie Arena,987,756,227,10779,5482,624
09/10/2023 05:43:02 PM,Thursday,DJ Set,DJ Tent,894,774,257,10824,5993,599
09/11/2023 05:43:02 PM,Sunday,VIP Meet & Greet,Chillout Zone,986,810,245,10687,5513,502
09/12/2023 05:43:02 PM,Friday,Outdoor Cinema,Main Stage,947,803,204,11208,5964,542
09/13/2023 05:43:02 PM,Saturday,Indie Showcase,Indie Arena,896,817,274,10457,5045,610
09/14/2023 05:43:02 PM,Saturday,DJ Set,Indie Arena,1114,781,267,11131,5071,599
09/15/2023 05:43:02 PM,Wednesday,DJ Set,Chillout Zone,970,802,233,10220,5607,513
09/16/2023 05:43:02 PM,Tuesday,VIP Meet & Greet,VIP Lounge,1127,782,255,11151,5675,512
09/17/2023 05:43:02 PM,Tuesday,VIP Meet & Greet,Chillout Zone,866,748,208,11054,5721,615
09/18/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,DJ Tent,1013,811,226,10381,5135,632
09/19/2023 05:43:02 PM,Monday,DJ Set,Main Stage,1252,709,243,11384,5204,567
09/20/2023 05:43:02 PM,Sunday,Main Stage Performance,VIP Lounge,1265,739,253,10524,5130,516
09/21/2023 05:43:02 PM,Saturday,Indie Showcase,Main Stage,825,799,214,11043,5248,519
09/22/2023 05:43:02 PM,Wednesday,DJ Set,VIP Lounge,889,807,233,10767,5278,613
09/23/2023 05:43:02 PM,Wednesday,Outdoor Cinema,Indie Arena,911,848,274,11023,5584,530
09/24/2023 05:43:02 PM,Friday,Outdoor Cinema,Indie Arena,824,786,201,11418,5384,585
09/25/2023 05:43:02 PM,Thursday,DJ Set,Indie Arena,1059,795,230,10843,5902,628
09/26/2023 05:43:02 PM,Wednesday,Indie Showcase,Main Stage,1204,737,268,11382,5589,580
09/27/2023 05:43:02 PM,Saturday,Outdoor Cinema,Indie Arena,1256,800,269,9753,5637,549
09/28/2023 05:43:02 PM,Monday,Indie Showcase,Chillout Zone,792,831,225,10081,5621,596
09/29/2023 05:43:02 PM,Monday,Main Stage Performance,Indie Arena,1036,794,226,10860,5927,630
09/30/2023 05:43:02 PM,Tuesday,Indie Showcase,DJ Tent,875,846,244,10421,5760,605
10/01/2023 05:43:02 PM,Sunday,Outdoor Cinema,DJ Tent,1269,718,231,11144,5114,526
10/02/2023 05:43:02 PM,Monday,Outdoor Cinema,Indie Arena,1208,833,215,10071,5985,630
10/03/2023 05:43:02 PM,Thursday,Outdoor Cinema,VIP Lounge,889,705,249,11150,5772,602
10/04/2023 05:43:02 PM,Wednesday,Main Stage Performance,Indie Arena,1242,708,250,10439,5365,639
10/05/2023 05:43:02 PM,Saturday,Indie Showcase,VIP Lounge,900,821,254,11036,5417,545
10/06/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,Chillout Zone,959,797,265,10058,5325,510
10/07/2023 05:43:02 PM,Monday,VIP Meet & Greet,DJ Tent,769,808,265,9729,5928,568
10/08/2023 05:43:02 PM,Sunday,DJ Set,Indie Arena,1163,805,252,10607,5653,531
10/09/2023 05:43:02 PM,Friday,Outdoor Cinema,VIP Lounge,1257,718,216,11029,5997,517
10/10/2023 05:43:02 PM,Saturday,Outdoor Cinema,Chillout Zone,1033,793,264,11279,5251,593
10/11/2023 05:43:02 PM,Thursday,VIP Meet & Greet,Chillout Zone,963,791,256,10910,5980,637
10/12/2023 05:43:02 PM,Sunday,DJ Set,Main Stage,735,732,256,10797,5948,583
10/13/2023 05:43:02 PM,Tuesday,Outdoor Cinema,VIP Lounge,1255,753,268,11235,5932,577
10/14/2023 05:43:02 PM,Thursday,Indie Showcase,DJ Tent,1114,820,208,9932,5941,564
10/15/2023 05:43:02 PM,Monday,VIP Meet & Greet,DJ Tent,941,779,242,11024,5062,635
10/16/2023 05:43:02 PM,Saturday,Indie Showcase,Chillout Zone,947,727,207,10689,5517,541
10/17/2023 05:43:02 PM,Thursday,VIP Meet & Greet,Chillout Zone,976,804,257,9869,5966,522
10/18/2023 05:43:02 PM,Friday,Main Stage Performance,DJ Tent,730,750,228,11232,5145,566
10/19/2023 05:43:02 PM,Monday,DJ Set,Indie Arena,811,823,275,10226,5574,519
10/20/2023 05:43:02 PM,Saturday,DJ Set,Main Stage,1101,730,235,10560,5334,507
10/21/2023 05:43:02 PM,Wednesday,Outdoor Cinema,Indie Arena,775,761,270,10029,5020,605
10/22/2023 05:43:02 PM,Saturday,Main Stage Performance,DJ Tent,1071,709,247,11220,5811,566
10/23/2023 05:43:02 PM,Monday,Main Stage Performance,Indie Arena,865,768,206,11059,5167,502
10/24/2023 05:43:02 PM,Monday,DJ Set,VIP Lounge,1044,807,235,11009,5534,602
10/25/2023 05:43:02 PM,Thursday,DJ Set,Indie Arena,802,843,262,10691,5174,562
10/26/2023 05:43:02 PM,Saturday,DJ Set,Main Stage,934,786,225,11045,5482,506
10/27/2023 05:43:02 PM,Monday,DJ Set,Main Stage,1184,715,200,10984,5346,578
10/28/2023 05:43:02 PM,Sunday,DJ Set,Chillout Zone,1068,827,216,10790,5762,553
10/29/2023 05:43:02 PM,Monday,VIP Meet & Greet,VIP Lounge,806,803,259,10564,5913,633
10/30/2023 05:43:02 PM,Tuesday,DJ Set,DJ Tent,870,743,239,10311,5643,529
10/31/2023 05:43:02 PM,Saturday,Main Stage Performance,VIP Lounge,930,701,200,11414,5772,580
11/01/2023 05:43:02 PM,Thursday,DJ Set,Chillout Zone,1136,802,227,10292,5675,623
11/02/2023 05:43:02 PM,Sunday,Main Stage Performance,VIP Lounge,1024,833,272,10366,5592,588
11/03/2023 05:43:02 PM,Tuesday,VIP Meet & Greet,Indie Arena,1113,725,238,10766,6031,589
11/04/2023 05:43:02 PM,Tuesday,DJ Set,Chillout Zone,1159,767,268,10649,5748,503
11/05/2023 05:43:02 PM,Tuesday,Outdoor Cinema,DJ Tent,892,826,273,10166,5770,562
11/06/2023 05:43:02 PM,Wednesday,DJ Set,Chillout Zone,1249,774,205,11031,6064,571
11/07/2023 05:43:02 PM,Friday,DJ Set,DJ Tent,807,737,273,9882,5051,532
11/08/2023 05:43:02 PM,Saturday,Main Stage Performance,Main Stage,1160,779,259,11133,5914,574
11/09/2023 05:43:02 PM,Saturday,VIP Meet & Greet,DJ Tent,903,705,236,10693,5255,621
11/10/2023 05:43:02 PM,Thursday,DJ Set,Main Stage,1082,706,208,10821,5346,527
11/11/2023 05:43:02 PM,Monday,DJ Set,VIP Lounge,997,722,270,10894,5030,551
11/12/2023 05:43:02 PM,Tuesday,Outdoor Cinema,DJ Tent,1047,701,271,11264,5934,530
11/13/2023 05:43:02 PM,Tuesday,Indie Showcase,Main Stage,812,733,210,10711,5356,537
11/14/2023 05:43:02 PM,Tuesday,VIP Meet & Greet,Main Stage,792,728,262,10596,5117,627
11/15/2023 05:43:02 PM,Saturday,VIP Meet & Greet,VIP Lounge,1238,738,247,10098,5411,563
11/16/2023 05:43:02 PM,Friday,VIP Meet & Greet,Main Stage,985,821,232,11080,5968,557
11/17/2023 05:43:02 PM,Wednesday,Main Stage Performance,VIP Lounge,886,831,203,10791,5494,627
11/18/2023 05:43:02 PM,Monday,Main Stage Performance,DJ Tent,1176,823,248,11032,5920,602
11/19/2023 05:43:02 PM,Saturday,VIP Meet & Greet,Chillout Zone,766,809,265,10220,6069,569
11/20/2023 05:43:02 PM,Wednesday,Outdoor Cinema,Indie Arena,980,849,248,10176,5371,587
11/21/2023 05:43:02 PM,Sunday,Main Stage Performance,VIP Lounge,1156,810,213,10026,5807,503
11/22/2023 05:43:02 PM,Sunday,Main Stage Performance,DJ Tent,1215,750,260,10737,6003,530
11/23/2023 05:43:02 PM,Monday,VIP Meet & Greet,DJ Tent,1272,771,219,10622,5641,595
11/24/2023 05:43:02 PM,Wednesday,Indie Showcase,Chillout Zone,886,835,238,11302,5302,530
11/25/2023 05:43:02 PM,Friday,Indie Showcase,DJ Tent,1196,845,212,11387,5358,516
11/26/2023 05:43:02 PM,Wednesday,DJ Set,Indie Arena,895,847,204,11013,5504,619
11/27/2023 05:43:02 PM,Saturday,Main Stage Performance,DJ Tent,1082,801,219,10507,5935,522
11/28/2023 05:43:02 PM,Thursday,DJ Set,Main Stage,974,794,264,10414,5875,601
11/29/2023 05:43:02 PM,Monday,Outdoor Cinema,Indie Arena,1178,771,273,11015,5835,635
11/30/2023 05:43:02 PM,Friday,Indie Showcase,Chillout Zone,1239,705,225,10897,5501,615
12/01/2023 05:43:02 PM,Saturday,VIP Meet & Greet,DJ Tent,1009,844,247,11177,5376,553
12/02/2023 05:43:02 PM,Sunday,VIP Meet & Greet,Main Stage,714,754,244,10160,6055,633
12/03/2023 05:43:02 PM,Wednesday,Outdoor Cinema,Chillout Zone,885,727,243,10623,5469,574
12/04/2023 05:43:02 PM,Monday,Main Stage Performance,Indie Arena,1042,767,229,11059,5074,510
12/05/2023 05:43:02 PM,Wednesday,Main Stage Performance,Chillout Zone,1161,721,210,10142,5017,544
12/06/2023 05:43:02 PM,Sunday,Outdoor Cinema,VIP Lounge,1023,778,208,11013,5235,563
12/07/2023 05:43:02 PM,Sunday,Outdoor Cinema,Indie Arena,769,842,212,11373,5780,511
12/08/2023 05:43:02 PM,Tuesday,Outdoor Cinema,VIP Lounge,1236,729,251,11130,5193,573
12/09/2023 05:43:02 PM,Monday,Outdoor Cinema,Main Stage,1058,733,210,10449,5001,521
12/10/2023 05:43:02 PM,Sunday,VIP Meet & Greet,VIP Lounge,1171,826,238,11217,5571,566
12/11/2023 05:43:02 PM,Monday,Outdoor Cinema,Indie Arena,807,723,200,11031,5372,626
12/12/2023 05:43:02 PM,Thursday,Indie Showcase,Chillout Zone,1096,843,210,10337,5433,508
12/13/2023 05:43:02 PM,Friday,VIP Meet & Greet,VIP Lounge,856,843,219,10964,5298,526
12/14/2023 05:43:02 PM,Thursday,Outdoor Cinema,Chillout Zone,1193,842,200,11410,5661,571
12/15/2023 05:43:02 PM,Tuesday,Main Stage Performance,Main Stage,1001,833,259,9835,5298,505
12/16/2023 05:43:02 PM,Tuesday,Indie Showcase,VIP Lounge,896,725,261,10865,5673,515
12/17/2023 05:43:02 PM,Tuesday,Main Stage Performance,VIP Lounge,1180,764,217,9925,5647,557
12/18/2023 05:43:02 PM,Monday,Main Stage Performance,DJ Tent,1259,803,209,10532,6005,532
12/19/2023 05:43:02 PM,Saturday,Outdoor Cinema,Indie Arena,1089,782,238,10574,5763,605
12/20/2023 05:43:02 PM,Sunday,DJ Set,Indie Arena,1064,732,236,9766,5319,559
12/21/2023 05:43:02 PM,Monday,DJ Set,VIP Lounge,852,713,234,10197,5487,540
12/22/2023 05:43:02 PM,Wednesday,Outdoor Cinema,Main Stage,1236,827,206,10035,5507,584
12/23/2023 05:43:02 PM,Wednesday,Indie Showcase,VIP Lounge,1181,742,207,10257,5578,576
12/24/2023 05:43:02 PM,Sunday,Outdoor Cinema,DJ Tent,844,797,234,9994,5867,531
12/25/2023 05:43:02 PM,Monday,Main Stage Performance,Chillout Zone,816,759,224,10603,5442,516
12/26/2023 05:43:02 PM,Saturday,VIP Meet & Greet,Main Stage,713,838,263,9944,5076,527
12/27/2023 05:43:02 PM,Tuesday,VIP Meet & Greet,DJ Tent,985,700,254,10759,5325,535
12/28/2023 05:43:02 PM,Thursday,Outdoor Cinema,Main Stage,944,729,248,9962,6016,582
12/29/2023 05:43:02 PM,Wednesday,VIP Meet & Greet,DJ Tent,1259,747,243,10511,5631,565
12/30/2023 05:43:02 PM,Sunday,Indie Showcase,VIP Lounge,788,769,232,10319,5918,500
12/31/2023 05:43:02 PM,Sunday,Main Stage Performance,VIP Lounge,809,811,216,11080,5041,541
01/01/2024 05:43:02 PM,Saturday,Main Stage Performance,VIP Lounge,713,779,222,11298,5117,549
01/02/2024 05:43:02 PM,Sunday,Outdoor Cinema,VIP Lounge,743,834,253,9808,5935,501
01/03/2024 05:43:02 PM,Sunday,DJ Set,VIP Lounge,1071,701,266,10671,5829,584
01/04/2024 05:43:02 PM,Tuesday,VIP Meet & Greet,DJ Tent,722,721,272,10768,5440,630
01/05/2024 05:43:02 PM,Friday,Outdoor Cinema,Main Stage,1057,832,264,11024,6033,598
01/06/2024 05:43:02 PM,Saturday,Indie Showcase,Main Stage,759,710,228,11233,6016,612
01/07/2024 05:43:02 PM,Monday,Main Stage Performance,DJ Tent,795,738,236,9765,5585,546
01/08/2024 05:43:02 PM,Monday,Indie Showcase,Indie Arena,761,819,225,10494,5062,604
01/09/2024 05:43:02 PM,Saturday,Indie Showcase,Chillout Zone,718,781,228,10548,5163,509
01/10/2024 05:43:02 PM,Saturday,DJ Set,DJ Tent,852,835,208,10451,5638,573
01/11/2024 05:43:02 PM,Wednesday,Outdoor Cinema,DJ Tent,817,777,207,10512,5630,536
01/12/2024 05:43:02 PM,Thursday,Outdoor Cinema,Main Stage,714,722,230,10262,5006,513
01/13/2024 05:43:02 PM,Friday,Outdoor Cinema,VIP Lounge,923,713,215,10669,5640,507
01/14/2024 05:43:02 PM,Sunday,Outdoor Cinema,Indie Arena,1049,806,261,9918,5049,519
01/15/2024 05:43:02 PM,Wednesday,Indie Showcase,Chillout Zone,758,781,256,9860,5443,547
01/16/2024 05:43:02 PM,Friday,Main Stage Performance,Indie Arena,1015,737,249,11356,5696,635
01/17/2024 05:43:02 PM,Saturday,DJ Set,VIP Lounge,982,738,205,9922,5200,589
01/18/2024 05:43:02 PM,Saturday,Main Stage Performance,Main Stage,721,846,262,10685,5167,586
01/19/2024 05:43:02 PM,Wednesday,DJ Set,DJ Tent,938,836,253,9925,5800,573
01/20/2024 05:43:02 PM,Tuesday,VIP Meet & Greet,Main Stage,1270,752,226,10620,5705,622
01/21/2024 05:43:02 PM,Tuesday,Main Stage Performance,VIP Lounge,1139,703,209,10779,5377,597
01/22/2024 05:43:02 PM,Tuesday,Indie Showcase,Indie Arena,846,796,218,11205,5031,607
01/23/2024 05:43:02 PM,Sunday,DJ Set,Chillout Zone,940,713,200,11341,5279,606
01/24/2024 05:43:02 PM,Tuesday,DJ Set,Indie Arena,826,788,240,10229,5056,513
01/25/2024 05:43:02 PM,Friday,Outdoor Cinema,Main Stage,1250,765,269,10802,5397,630
01/26/2024 05:43:02 PM,Saturday,Indie Showcase,Chillout Zone,1237,797,257,10435,5754,590
01/27/2024 05:43:02 PM,Saturday,DJ Set,Chillout Zone,1192,730,265,10488,5237,607
01/28/2024 05:43:02 PM,Saturday,Outdoor Cinema,Main Stage,856,702,223,9700,5060,517
01/29/2024 05:43:02 PM,Thursday,Main Stage Performance,VIP Lounge,781,829,257,10350,5753,517
01/30/2024 05:43:02 PM,Thursday,Outdoor Cinema,Main Stage,1070,841,202,10634,5030,526
01/31/2024 05:43:02 PM,Monday,Main Stage Performance,Chillout Zone,951,846,238,10982,5230,637
02/01/2024 05:43:02 PM,Tuesday,Outdoor Cinema,Indie Arena,1202,775,236,9941,5520,548
02/02/2024 05:43:02 PM,Sunday,Main Stage Performance,Chillout Zone,1047,790,265,10063,5792,585
02/03/2024 05:43:02 PM,Sunday,DJ Set,Main Stage,1118,746,232,10378,5301,595
02/04/2024 05:43:02 PM,Wednesday,DJ Set,Main Stage,757,783,212,11054,5844,595
02/05/2024 05:43:02 PM,Monday,Indie Showcase,Indie Arena,751,802,220,10496,5103,505
02/06/2024 05:43:02 PM,Friday,VIP Meet & Greet,DJ Tent,1127,836,218,10169,5010,522
02/07/2024 05:43:02 PM,Friday,Indie Showcase,Chillout Zone,1109,779,206,10511,5240,566
02/08/2024 05:43:02 PM,Wednesday,Main Stage Performance,Indie Arena,879,782,243,10941,5868,569
02/09/2024 05:43:02 PM,Monday,Outdoor Cinema,VIP Lounge,1009,770,242,9743,5045,595
02/10/2024 05:43:02 PM,Tuesday,Outdoor Cinema,VIP Lounge,825,700,259,11044,5358,554
02/11/2024 05:43:02 PM,Sunday,DJ Set,Main Stage,1170,789,233,10703,5290,613
02/12/2024 05:43:02 PM,Thursday,VIP Meet & Greet,Main Stage,765,743,213,10058,5732,615
02/13/2024 05:43:02 PM,Tuesday,Indie Showcase,DJ Tent,1254,836,248,10724,5955,510
02/14/2024 05:43:02 PM,Monday,Main Stage Performance,DJ Tent,1106,847,255,10650,5798,536
02/15/2024 05:43:02 PM,Thursday,Indie Showcase,Main Stage,820,778,232,10284,5018,576
02/16/2024 05:43:02 PM,Wednesday,VIP Meet & Greet,Indie Arena,1212,772,217,11309,5272,531
02/17/2024 05:43:02 PM,Sunday,Outdoor Cinema,VIP Lounge,1259,821,255,10122,5420,561
02/18/2024 05:43:02 PM,Monday,Main Stage Performance,DJ Tent,883,791,218,11061,5285,574
02/19/2024 05:43:02 PM,Friday,Main Stage Performance,DJ Tent,1218,739,204,10002,5354,617
02/20/2024 05:43:02 PM,Wednesday,VIP Meet & Greet,Main Stage,1082,759,250,9923,5982,567
02/21/2024 05:43:02 PM,Wednesday,Main Stage Performance,Indie Arena,932,774,229,10483,5160,616
02/22/2024 05:43:02 PM,Monday,VIP Meet & Greet,Indie Arena,1269,716,230,11209,5430,599
02/23/2024 05:43:02 PM,Friday,Indie Showcase,Chillout Zone,858,751,266,10520,5564,547
02/24/2024 05:43:02 PM,Tuesday,Outdoor Cinema,Indie Arena,1229,793,200,10535,5059,594
02/25/2024 05:43:02 PM,Tuesday,Main Stage Performance,DJ Tent,1160,728,235,11109,5368,594
02/26/2024 05:43:02 PM,Tuesday,VIP Meet & Greet,Main Stage,728,849,203,10530,5351,540
02/27/2024 05:43:02 PM,Sunday,Outdoor Cinema,Indie Arena,1227,799,237,11056,5745,590
02/28/2024 05:43:02 PM,Wednesday,Outdoor Cinema,Indie Arena,867,826,244,10294,5268,526
02/29/2024 05:43:02 PM,Sunday,DJ Set,Indie Arena,1026,806,253,10052,5635,602
03/01/2024 05:43:02 PM,Friday,Indie Showcase,Main Stage,974,849,207,9703,5303,518
03/02/2024 05:43:02 PM,Tuesday,Main Stage Performance,DJ Tent,929,845,273,11277,6028,558
03/03/2024 05:43:02 PM,Wednesday,Indie Showcase,DJ Tent,1062,797,236,10733,5456,603
03/04/2024 05:43:02 PM,Tuesday,Main Stage Performance,Chillout Zone,763,829,205,10935,5079,586
03/05/2024 05:43:02 PM,Sunday,Indie Showcase,Chillout Zone,1044,751,200,10341,5493,500
03/06/2024 05:43:02 PM,Sunday,Main Stage Performance,Main Stage,1258,702,212,11034,5069,573
03/07/2024 05:43:02 PM,Thursday,VIP Meet & Greet,VIP Lounge,1017,809,242,11330,5066,587
03/08/2024 05:43:02 PM,Tuesday,Indie Showcase,Main Stage,1015,851,273,10840,5966,637
03/09/2024 05:43:02 PM,Monday,Main Stage Performance,VIP Lounge,845,836,238,9976,5933,601
03/10/2024 05:43:02 PM,Thursday,VIP Meet & Greet,Indie Arena,1001,819,266,11184,5504,551
03/11/2024 05:43:02 PM,Friday,VIP Meet & Greet,Chillout Zone,932,711,214,10730,5375,535
03/12/2024 05:43:02 PM,Monday,Main Stage Performance,VIP Lounge,992,797,270,9951,5390,546
03/13/2024 05:43:02 PM,Friday,Outdoor Cinema,Main Stage,1234,836,200,9823,5142,505
03/14/2024 05:43:02 PM,Saturday,Outdoor Cinema,DJ Tent,1155,702,256,11339,5954,549
03/15/2024 05:43:02 PM,Thursday,DJ Set,VIP Lounge,893,707,251,10155,5826,577
03/16/2024 05:43:02 PM,Tuesday,Outdoor Cinema,Chillout Zone,1241,823,205,11164,5848,531
03/17/2024 05:43:02 PM,Saturday,Outdoor Cinema,Main Stage,1252,763,237,10103,5411,581
03/18/2024 05:43:02 PM,Wednesday,Main Stage Performance,Main Stage,777,783,230,11113,5826,544
03/19/2024 05:43:02 PM,Monday,DJ Set,DJ Tent,1078,730,271,9924,5122,547
03/20/2024 05:43:02 PM,Wednesday,VIP Meet & Greet,Indie Arena,1111,794,209,10695,5782,595
03/21/2024 05:43:02 PM,Monday,VIP Meet & Greet,Main Stage,791,815,205,10441,5595,574
03/22/2024 05:43:02 PM,Monday,Outdoor Cinema,Main Stage,925,831,250,9938,6010,608
03/23/2024 05:43:02 PM,Saturday,DJ Set,VIP Lounge,815,810,203,11348,5499,602
03/24/2024 05:43:02 PM,Tuesday,Indie Showcase,Main Stage,1175,819,221,11001,5630,567
03/25/2024 05:43:02 PM,Tuesday,DJ Set,Main Stage,883,837,233,10472,5031,636
03/26/2024 05:43:02 PM,Friday,DJ Set,Main Stage,1048,829,223,9673,5021,620
03/27/2024 05:43:02 PM,Friday,VIP Meet & Greet,Indie Arena,1118,738,231,9721,5840,551
03/28/2024 05:43:02 PM,Monday,Main Stage Performance,VIP Lounge,829,740,206,10438,5800,523
03/29/2024 05:43:02 PM,Sunday,VIP Meet & Greet,VIP Lounge,740,727,201,11069,5977,609
03/30/2024 05:43:02 PM,Sunday,Indie Showcase,Indie Arena,955,771,216,10110,5174,623
03/31/2024 05:43:02 PM,Saturday,Main Stage Performance,DJ Tent,840,801,202,9895,5314,603
04/01/2024 05:43:02 PM,Saturday,Indie Showcase,VIP Lounge,1023,769,202,11141,5070,554
04/02/2024 05:43:02 PM,Monday,Main Stage Performance,Chillout Zone,1146,778,258,10331,5338,537
